lote_id,centro,turno,metodo,lineas_pedido,distancia_m,tiempo_antes_min,tiempo_despues_min,incumple_sla,alarma_previa,demanda_repuestos,costo_final_clp
L0001,Norte,Manana,Actual,19,335.8876,24.8160,28.2968,0,0,1,20489.0279
L0002,Centro,Tarde,Guiado,34,107.4995,28.8621,26.4033,0,0,2,19920.9790
L0003,Sur,Manana,Actual,32,247.9776,28.4255,30.1978,0,0,0,21059.3265
L0004,Norte,Manana,Balanceado,24,685.6279,30.4786,25.6372,0,0,4,19691.1652
L0005,Centro,Manana,Actual,25,572.5077,29.1092,29.6107,0,0,3,20883.2046
L0006,Sur,Tarde,Actual,30,550.9448,34.1477,31.1431,0,0,3,21342.9244
L0007,Norte,Manana,Actual,32,143.8095,27.3054,30.0376,0,0,1,21011.2880
L0008,Centro,Tarde,Guiado,36,374.4244,32.1302,31.2035,0,0,1,21361.0355
L0009,Sur,Tarde,Guiado,37,400.7147,33.7161,30.6954,0,0,3,21208.6122
L0010,Norte,Tarde,Actual,31,772.4668,32.1429,31.4857,0,0,3,21445.7128
L0011,Centro,Tarde,Guiado,28,527.6933,30.9926,27.0783,0,0,5,20123.4939
L0012,Sur,Manana,Guiado,25,445.1826,30.1401,25.4048,0,0,2,19621.4294
L0013,Norte,Manana,Guiado,33,480.6157,31.4634,29.7118,0,0,5,20913.5360
L0014,Centro,Tarde,Actual,32,840.4525,30.5312,32.9356,1,1,0,25880.6661
L0015,Sur,Manana,Balanceado,34,704.4918,33.0166,30.5497,0,0,2,21164.9063
L0016,Norte,Manana,Balanceado,35,816.4067,31.7415,31.8392,0,1,2,21551.7740
L0017,Centro,Tarde,Actual,43,287.1896,34.0075,31.8335,0,0,1,21550.0558
L0018,Sur,Tarde,Guiado,43,182.0706,32.9952,28.3845,0,0,1,20515.3617
L0019,Norte,Manana,Guiado,26,378.6021,29.6087,25.5578,0,0,0,19667.3281
L0020,Centro,Tarde,Balanceado,22,674.1529,30.0267,38.5733,1,1,0,27571.9788
L0021,Sur,Tarde,Guiado,30,435.9772,30.9849,27.2643,0,0,0,20179.2867
L0022,Norte,Manana,Balanceado,28,427.0090,25.9448,23.0442,0,0,3,18913.2482
L0023,Centro,Tarde,Actual,28,594.3393,29.9665,29.2211,0,0,1,20766.3319
L0024,Sur,Manana,Guiado,31,308.6026,28.9570,28.0110,0,0,2,20403.2967
L0025,Norte,Manana,Balanceado,38,230.7797,28.9907,23.9190,0,0,3,19175.7060
L0026,Centro,Manana,Balanceado,29,280.7654,25.6105,21.2984,0,0,2,18389.5340
L0027,Sur,Manana,Actual,23,264.4817,25.5106,28.0132,0,0,1,20403.9668
L0028,Norte,Manana,Balanceado,32,480.3609,28.6340,28.2717,0,0,4,20481.4998
L0029,Centro,Tarde,Balanceado,29,172.6209,25.1392,23.7349,0,0,2,19120.4763
L0030,Sur,Manana,Actual,31,263.7144,26.8476,26.9972,0,0,5,20099.1612
L0031,Norte,Manana,Balanceado,28,252.9531,27.5638,20.6735,0,0,1,18202.0564
L0032,Centro,Tarde,Guiado,32,757.0281,34.7487,31.7777,0,0,1,21533.3028
L0033,Sur,Tarde,Guiado,42,768.4418,39.2586,32.6458,1,0,3,25793.7509
L0034,Norte,Manana,Balanceado,31,509.2994,29.4461,26.0525,0,0,0,19815.7437
L0035,Centro,Manana,Guiado,25,488.8193,25.5525,29.3020,0,0,0,20790.5928
L0036,Sur,Tarde,Actual,36,760.7841,37.4191,37.9240,1,1,3,27377.2038
L0037,Norte,Tarde,Guiado,40,412.3093,35.4850,27.7489,0,0,4,20324.6781
L0038,Centro,Tarde,Actual,34,410.5749,33.0104,33.4491,1,1,1,26034.7260
L0039,Sur,Manana,Actual,27,527.1031,29.2079,28.1728,0,0,2,20451.8332
L0040,Norte,Tarde,Guiado,34,837.3951,35.1301,32.8765,1,1,2,25862.9506
L0041,Centro,Manana,Balanceado,33,415.9800,33.8289,25.9271,0,0,2,19778.1274
L0042,Sur,Tarde,Balanceado,26,433.9091,28.6559,24.2310,0,0,5,19269.2879
L0043,Norte,Tarde,Guiado,35,349.6312,32.2807,24.2788,0,1,1,19283.6519
L0044,Centro,Tarde,Guiado,22,506.9048,28.6054,24.0321,0,0,2,19209.6233
L0045,Sur,Tarde,Actual,23,791.7270,32.6181,30.1423,0,1,3,21042.6783
L0046,Norte,Manana,Balanceado,31,810.6230,32.8151,28.0308,0,0,4,20409.2289
L0047,Centro,Tarde,Actual,30,418.2576,29.8353,30.0823,0,0,2,21024.6905
L0048,Sur,Manana,Actual,29,219.5137,27.2621,30.6132,0,0,2,21183.9729
L0049,Norte,Tarde,Balanceado,29,266.5652,28.8575,25.9434,0,0,1,19783.0107
L0050,Centro,Tarde,Guiado,25,671.8847,33.5208,28.5757,0,0,0,20572.7107
L0051,Sur,Manana,Actual,36,413.4549,32.2367,31.8259,0,0,1,21547.7580
L0052,Norte,Tarde,Guiado,28,775.4299,35.4367,29.6417,0,0,1,20892.5092
L0053,Centro,Tarde,Guiado,33,220.8038,26.3735,24.8047,0,0,2,19441.4015
L0054,Sur,Tarde,Balanceado,24,575.8889,30.2399,23.8628,0,0,4,19158.8505
L0055,Norte,Manana,Balanceado,27,689.7281,25.5786,26.6144,0,0,2,19984.3273
L0056,Centro,Tarde,Balanceado,39,141.5441,29.5133,27.3450,0,0,0,20203.5111
L0057,Sur,Manana,Balanceado,26,310.3423,32.5467,23.2503,0,0,2,18975.0758
L0058,Norte,Manana,Guiado,17,157.5308,25.4319,22.2792,0,0,4,18683.7524
L0059,Centro,Manana,Balanceado,28,650.1786,27.3580,25.7317,0,0,1,19719.5225
L0060,Sur,Tarde,Actual,29,157.7858,31.0703,29.9192,0,0,1,20975.7735
L0061,Norte,Manana,Balanceado,34,420.7477,28.7512,27.1654,0,1,1,20149.6062
L0062,Centro,Manana,Actual,30,572.5817,29.0788,28.0642,0,0,3,20419.2706
L0063,Sur,Tarde,Balanceado,39,299.5341,31.8067,29.9955,0,0,4,20998.6469
L0064,Norte,Manana,Guiado,26,170.3725,25.2168,23.7389,0,0,1,19121.6680
L0065,Centro,Tarde,Actual,28,317.3712,29.1868,28.1761,0,0,3,20452.8159
L0066,Sur,Tarde,Actual,26,734.9907,32.2928,32.8875,1,1,3,25866.2577
L0067,Norte,Manana,Balanceado,26,364.7692,27.6567,22.9300,0,0,1,18878.9906
L0068,Centro,Manana,Guiado,42,804.9205,33.8030,32.4865,1,1,6,25745.9509
L0069,Sur,Tarde,Actual,34,849.1496,35.5389,33.2266,1,1,3,25967.9795
L0070,Norte,Manana,Balanceado,33,531.5783,31.3755,27.1881,0,0,1,20156.4445
L0071,Centro,Manana,Guiado,43,652.7927,32.9307,33.2010,1,1,1,25960.2860
L0072,Sur,Tarde,Balanceado,33,812.8640,39.9243,35.7530,1,1,1,26725.9070
L0073,Norte,Tarde,Balanceado,28,403.0744,28.0028,27.0231,0,0,1,20106.9263
L0074,Centro,Manana,Balanceado,23,637.6144,23.3050,24.6926,0,0,3,19407.7695
L0075,Sur,Tarde,Guiado,29,646.8744,36.1922,29.8464,0,0,2,20953.9120
L0076,Norte,Manana,Actual,29,498.5065,30.7908,29.1142,0,1,5,20734.2458
L0077,Centro,Manana,Guiado,36,436.9390,27.9694,32.0782,1,1,4,25623.4569
L0078,Sur,Tarde,Actual,21,813.9768,33.1646,32.5805,1,0,5,25774.1430
L0079,Norte,Manana,Actual,32,619.8316,29.5992,33.6095,1,1,3,26082.8599
L0080,Centro,Manana,Actual,29,442.0162,30.1157,29.7266,0,1,3,20917.9765
L0081,Sur,Tarde,Actual,40,722.7290,38.5648,37.7104,1,1,4,27313.1324
L0082,Norte,Manana,Balanceado,38,789.5573,32.1039,29.6567,0,0,4,20897.0139
