registro_id,fecha,centro,turno,pedidos,unidades,lineas,distancia_m,ocupacion_pct,operarios,urgentes_pct,promocion,carga_proxy_1,carga_proxy_2,horas_persona,costo_cierre_clp,ruido_1,ruido_2,ruido_3,ruido_4,rol_particion
N0001,2026-07-01,C9,Tarde,156,262,161,1331.2487,64.6441,9,21.0733,0,160.7868,150.6406,11.8079,88600.3145,-0.1601,-0.5784,1.5127,0.9498,transportabilidad
N0002,2026-07-02,C9,Manana,193,372,176,794.5495,63.8173,17,21.8902,0,196.4062,196.0838,9.9513,75791.4322,-0.0227,-0.3825,-0.3402,-0.8924,transportabilidad
N0003,2026-07-03,C9,Tarde,198,637,248,NA,56.7914,17,21.6695,0,198.4080,193.9860,17.0323,126346.7057,-0.3945,1.2204,-1.6170,-0.4046,transportabilidad
N0004,2026-07-04,C9,Tarde,176,368,223,1781.4393,39.4682,15,29.8609,0,170.6445,180.4309,14.3154,107088.8872,-0.5829,-0.4531,-1.0070,0.0780,transportabilidad
N0005,2026-07-05,C9,Tarde,177,280,191,2047.3835,49.4478,8,21.9729,0,177.8873,177.7595,15.4500,113812.8958,0.9144,0.0754,-1.3461,0.0857,transportabilidad
N0006,2026-07-06,C9,Manana,153,456,197,793.5086,90.2770,12,0.9583,1,148.8462,151.9884,16.8832,129714.3685,-0.7286,-0.9403,0.4829,0.0347,transportabilidad
N0007,2026-07-07,C9,Manana,166,412,214,1572.9668,40.9759,16,18.7047,1,165.9942,167.0106,12.4474,93638.7210,0.8085,0.1468,0.6077,-1.1443,transportabilidad
N0008,2026-07-08,C9,Manana,161,301,194,1657.1039,53.1703,13,21.9956,1,158.0988,162.2241,7.4319,53596.7694,1.2056,-1.2755,0.2753,-0.5920,transportabilidad
N0009,2026-07-09,C9,Tarde,190,379,254,2045.1456,40.1322,8,19.9139,1,187.7433,189.0649,19.3893,145056.1944,-0.4263,0.4338,0.3537,-0.9420,transportabilidad
N0010,2026-07-10,C9,Tarde,190,528,175,2038.7617,61.3962,14,14.2538,0,190.7231,192.9910,13.6155,100118.7884,-1.5209,-0.2080,-1.1115,2.1204,transportabilidad
N0011,2026-07-11,C9,Tarde,188,428,213,1498.9799,45.2957,10,28.4779,1,186.7160,177.7843,15.4485,117483.4149,0.4444,-0.1039,-0.9609,1.9333,transportabilidad
N0012,2026-07-12,C9,Manana,203,466,227,1709.0833,50.5767,11,4.2597,1,205.5151,200.4689,14.4742,109688.4984,-0.0307,-1.0995,0.7048,1.8761,transportabilidad
N0013,2026-07-13,C9,Tarde,171,370,230,2008.3509,45.5313,14,26.5650,1,167.4171,177.6621,15.2548,112558.0202,-0.0813,0.0754,0.3333,1.6934,transportabilidad
N0014,2026-07-14,C9,Manana,178,616,243,994.2263,58.8199,14,22.1345,0,178.2755,175.8031,12.1275,92035.0638,0.9274,0.4347,-1.9430,1.6855,transportabilidad
N0015,2026-07-15,C9,Tarde,179,626,179,1063.9650,36.8995,17,12.8818,0,178.0639,184.6143,21.5152,161978.3011,0.1049,-1.3096,0.0471,-0.1051,transportabilidad
N0016,2026-07-16,C9,Tarde,151,434,144,1946.0151,58.7645,15,28.2332,0,148.7561,151.0883,11.7995,91136.1189,-0.7726,-0.6942,0.9558,-0.2212,transportabilidad
N0017,2026-07-17,C9,Tarde,176,396,191,1998.2387,41.7195,16,21.1753,0,176.4324,173.9954,14.4940,107610.5810,0.2211,-0.0755,0.9166,0.4465,transportabilidad
N0018,2026-07-18,C9,Manana,196,654,221,1933.7546,62.1161,8,29.1930,1,198.4044,198.4928,18.5588,139287.7876,-1.3757,-0.9052,1.1071,1.0875,transportabilidad
N0019,2026-07-19,C9,Manana,189,382,194,1951.8558,49.5463,15,13.2863,1,190.7146,194.2696,15.3758,117246.1096,-1.4957,0.1383,-2.1480,0.0933,transportabilidad
N0020,2026-07-20,C9,Tarde,191,610,205,1008.2398,82.6931,14,5.8783,1,190.9865,194.6357,20.8641,157245.8661,-0.2708,-0.7663,0.8919,2.0023,transportabilidad
N0021,2026-07-21,C9,Tarde,151,235,154,630.2826,49.8282,10,23.3081,1,151.8622,151.2328,9.1922,66770.9970,-0.9992,0.2307,0.7518,-0.1795,transportabilidad
N0022,2026-07-22,C9,Manana,171,437,188,480.7812,60.8409,14,18.9828,0,168.0849,171.3692,7.9761,56987.0420,-0.5284,1.8781,-0.0980,0.7207,transportabilidad
N0023,2026-07-23,C9,Manana,170,593,195,754.3250,35.2613,7,2.6816,0,171.5488,171.8824,22.6833,171187.1124,-0.2392,0.7605,-0.8114,0.4086,transportabilidad
N0024,2026-07-24,C9,Tarde,192,476,183,1586.4562,43.4910,12,14.4968,1,192.4490,185.4863,16.7749,126403.9010,-1.0367,-1.5639,0.9009,1.0941,transportabilidad
N0025,2026-07-25,C9,Manana,191,570,224,1963.0034,79.9228,14,8.9247,0,195.4421,198.1537,19.0970,142723.8596,-0.0917,0.1121,-0.5182,0.1352,transportabilidad
N0026,2026-07-26,C9,Manana,199,609,276,445.2613,58.5787,17,19.8621,1,201.2734,197.7945,15.0111,115984.9171,-0.2095,0.2844,-1.4071,-0.5362,transportabilidad
N0027,2026-07-27,C9,Tarde,191,365,255,790.6379,51.5668,14,18.1306,0,192.0466,192.6357,13.5751,101422.8168,-0.4766,0.1306,-1.0380,0.2614,transportabilidad
N0028,2026-07-28,C9,Manana,160,531,161,1168.2742,49.5825,7,19.0817,1,153.6783,159.8868,15.1867,113998.6552,1.3586,0.2579,0.1093,1.3472,transportabilidad
N0029,2026-07-29,C9,Tarde,187,495,181,1658.7207,78.4169,16,12.0280,0,192.9852,185.1807,20.0030,153616.8027,0.3249,1.0722,-0.5019,-1.1467,transportabilidad
N0030,2026-07-30,C9,Manana,166,467,225,1518.2892,67.0129,10,9.2878,1,160.5056,161.6392,12.6143,95564.1627,-0.3779,-0.9488,-0.0980,-0.1651,transportabilidad
