archivo,variable,descripcion,rol,disponibilidad,unidad,tipo,faltantes
entrenamiento.csv,registro_id,Centro-turno diario; clave unica,identificador,al corte,id,object,0
entrenamiento.csv,fecha,Fecha de corte al inicio del turno,particion,al corte,AAAA-MM-DD,object,0
entrenamiento.csv,centro,Centro de distribucion,predictor,al corte,categoria,object,0
entrenamiento.csv,turno,Turno planificado,predictor,al corte,categoria,object,0
entrenamiento.csv,pedidos,Pedidos confirmados,predictor,al corte,pedidos,int64,0
entrenamiento.csv,unidades,Unidades confirmadas,predictor,al corte,unidades,int64,0
entrenamiento.csv,lineas,Lineas confirmadas,predictor,al corte,lineas,int64,0
entrenamiento.csv,distancia_m,Recorrido planificado; puede faltar,predictor,al corte,m,float64,37
entrenamiento.csv,ocupacion_pct,Ocupacion inicial de almacenamiento; puede faltar,predictor,al corte,porcentaje,float64,20
entrenamiento.csv,operarios,Dotacion planificada,predictor,al corte,personas,int64,0
entrenamiento.csv,urgentes_pct,Fraccion urgente de pedidos,predictor,al corte,porcentaje,float64,0
entrenamiento.csv,promocion,Promocion anunciada,predictor,al corte,0/1,int64,0
entrenamiento.csv,carga_proxy_1,Indicador redundante de carga,predictor,al corte,indice,float64,0
entrenamiento.csv,carga_proxy_2,Segundo indicador redundante de carga,predictor,al corte,indice,float64,0
entrenamiento.csv,horas_persona,Trabajo efectivamente requerido,respuesta,cierre del turno,horas-persona,float64,0
entrenamiento.csv,costo_cierre_clp,Costo posterior altamente asociado con respuesta,excluir_fuga,cierre del turno,CLP,float64,0
entrenamiento.csv,ruido_1,Indicador auxiliar sin significado operacional,predictor,al corte,indice,float64,0
entrenamiento.csv,ruido_2,Indicador auxiliar sin significado operacional,predictor,al corte,indice,float64,0
entrenamiento.csv,ruido_3,Indicador auxiliar sin significado operacional,predictor,al corte,indice,float64,0
entrenamiento.csv,ruido_4,Indicador auxiliar sin significado operacional,predictor,al corte,indice,float64,0
entrenamiento.csv,rol_particion,Separacion temporal fijada; no predictor,particion,al corte,categoria,object,0
validacion.csv,registro_id,Centro-turno diario; clave unica,identificador,al corte,id,object,0
validacion.csv,fecha,Fecha de corte al inicio del turno,particion,al corte,AAAA-MM-DD,object,0
validacion.csv,centro,Centro de distribucion,predictor,al corte,categoria,object,0
validacion.csv,turno,Turno planificado,predictor,al corte,categoria,object,0
validacion.csv,pedidos,Pedidos confirmados,predictor,al corte,pedidos,int64,0
validacion.csv,unidades,Unidades confirmadas,predictor,al corte,unidades,int64,0
