registro_id,fecha,centro,turno,pedidos,unidades,lineas,distancia_m,ocupacion_pct,operarios,urgentes_pct,promocion,carga_proxy_1,carga_proxy_2,horas_persona,costo_cierre_clp,ruido_1,ruido_2,ruido_3,ruido_4,rol_particion
R0001,2026-01-01,C1,Manana,149,445,176,986.3767,83.6312,7,21.4753,0,146.0165,154.1484,14.2961,108487.4715,-0.8313,0.0378,1.0777,2.7359,entrenamiento
R0002,2026-01-01,C2,Tarde,146,295,202,1352.9606,91.1433,15,8.9059,1,150.9215,140.0005,15.1652,115867.4711,-0.5363,-0.1075,-0.6715,-0.9423,entrenamiento
R0003,2026-01-01,C3,Manana,152,441,169,1642.4946,61.7614,16,20.9884,1,152.8990,148.8972,6.8019,49212.7145,0.8916,1.5201,-0.9529,-0.7587,entrenamiento
R0004,2026-01-01,C4,Tarde,168,305,153,616.2139,68.4050,8,22.8987,0,168.6445,163.8677,14.6774,110619.8334,-1.6251,-1.2040,1.0708,0.5684,entrenamiento
R0005,2026-01-01,C5,Manana,148,365,135,1737.9448,52.5689,9,2.9239,0,146.0846,151.7423,7.5441,60521.7911,1.3341,-1.5147,-1.4742,-0.8540,entrenamiento
R0006,2026-01-01,C6,Manana,145,233,176,2076.1446,64.3472,17,9.8908,1,143.1280,141.7999,5.2343,39157.7210,0.8382,-1.0728,0.2938,-1.0128,entrenamiento
R0007,2026-01-01,C7,Tarde,160,496,175,1952.5336,53.5158,12,10.9077,0,161.4734,155.4192,10.8064,82079.2558,1.1699,0.1414,0.5613,0.1739,entrenamiento
R0008,2026-01-01,C8,Manana,130,411,175,1827.9670,83.2461,8,9.9373,1,126.5502,130.7438,16.4488,123881.4751,1.9493,2.3325,-1.4747,0.1394,entrenamiento
R0009,2026-01-02,C1,Manana,158,499,158,1503.8792,40.1848,16,11.4522,0,151.4167,169.5592,8.9345,68104.2236,0.6020,0.2399,0.7870,0.8793,entrenamiento
R0010,2026-01-02,C2,Tarde,148,408,191,983.2215,NA,9,23.0116,0,147.0874,150.1072,17.0462,125958.9231,-0.3275,0.2883,1.3112,-0.1043,entrenamiento
R0011,2026-01-02,C3,Tarde,152,469,193,2114.1369,43.5595,14,21.8137,1,146.6932,150.5973,8.6299,64163.5973,1.8686,-0.0098,1.0541,0.4339,entrenamiento
R0012,2026-01-02,C4,Tarde,150,302,150,797.0642,84.4595,15,4.2770,1,148.3318,154.0135,10.0736,75972.9815,-0.1452,0.5434,-0.4331,-0.5325,entrenamiento
R0013,2026-01-02,C5,Tarde,162,425,184,1085.4411,83.2272,8,17.9002,0,160.2437,164.0486,17.7111,132759.5122,0.7250,-0.3826,-0.7277,-0.9830,entrenamiento
R0014,2026-01-02,C6,Manana,140,388,195,809.2407,84.1707,17,7.5388,0,143.8671,141.0008,10.0392,75203.1646,-1.2043,-0.2394,-2.0421,1.0457,entrenamiento
R0015,2026-01-02,C7,Manana,141,266,144,1417.9971,46.3412,10,15.1425,1,140.1281,134.9362,10.4820,78630.7482,-1.2741,0.7337,0.7769,-0.0156,entrenamiento
R0016,2026-01-02,C8,Manana,153,277,162,645.7695,43.5434,15,19.0469,0,151.8196,151.2431,7.2673,52185.1475,-1.1170,-0.3754,-0.6407,-0.5138,entrenamiento
R0017,2026-01-03,C1,Tarde,157,260,207,2031.5128,89.4279,15,17.5977,0,150.9218,155.6822,14.9507,114617.1038,0.5206,-1.0399,0.7871,-1.9728,entrenamiento
R0018,2026-01-03,C2,Tarde,158,398,191,947.4271,91.8768,10,1.8131,1,160.1598,157.4600,16.7912,126294.1919,0.9772,-0.4945,1.1532,1.6475,entrenamiento
R0019,2026-01-03,C3,Manana,142,411,191,1759.4978,58.5028,10,5.1123,1,139.3726,153.1441,4.5125,35768.9289,-0.7499,-1.3278,-0.9712,0.3291,entrenamiento
R0020,2026-01-03,C4,Manana,143,481,171,400.5624,73.4120,14,9.0167,0,139.8155,133.7408,4.9873,38346.1225,1.4356,-1.7103,-1.5128,-0.6547,entrenamiento
R0021,2026-01-03,C5,Manana,150,370,197,469.0515,38.6652,17,9.6493,0,146.6884,145.8120,10.0562,75605.9387,0.6385,1.1868,0.6109,1.2952,entrenamiento
R0022,2026-01-03,C6,Tarde,165,257,219,1463.4525,71.8029,8,7.2955,0,162.1578,169.2217,8.1785,60399.3174,0.2260,-1.0114,-0.2063,0.4335,entrenamiento
R0023,2026-01-03,C7,Manana,166,580,230,2168.9956,51.3221,17,26.6139,1,161.9498,163.3015,10.4288,77069.7302,-0.2472,0.5810,0.1561,-0.2670,entrenamiento
R0024,2026-01-03,C8,Tarde,147,394,177,1215.4600,46.4147,17,29.3501,1,147.6003,152.8740,8.3189,62153.2598,-0.9365,-0.0782,0.3872,-1.4660,entrenamiento
R0025,2026-01-04,C1,Tarde,158,264,177,478.7515,76.1436,11,4.1382,1,158.0903,154.2909,9.8010,72664.6197,-1.2491,0.6709,0.0980,1.9957,entrenamiento
R0026,2026-01-04,C2,Manana,153,390,197,1032.9112,88.1933,10,3.7569,0,155.3472,156.9492,11.9202,89579.7608,0.2152,1.2845,0.3513,-0.4505,entrenamiento
R0027,2026-01-04,C3,Tarde,161,289,168,1639.4532,53.5078,16,28.8176,1,157.1343,168.2567,8.0884,60765.6594,1.6236,-0.0334,-0.4631,0.7302,entrenamiento
R0028,2026-01-04,C4,Manana,137,292,145,789.4595,36.5592,15,9.5966,0,141.8181,136.3981,8.9178,68165.0153,0.8375,0.6690,0.2167,-0.4019,entrenamiento
R0029,2026-01-04,C5,Manana,148,459,156,1336.0000,66.9924,13,28.2681,0,147.1194,158.8049,3.3114,25945.8865,0.5170,0.7656,-0.6017,-0.0521,entrenamiento
R0030,2026-01-04,C6,Tarde,117,386,126,1527.0977,52.6215,10,15.9454,1,123.2853,126.1260,6.8696,52029.9507,-0.6726,1.3686,0.7423,-0.4840,entrenamiento
R0031,2026-01-04,C7,Manana,146,492,187,1528.1951,83.9858,10,15.6175,1,140.9408,145.7878,12.2076,90389.1365,1.4611,0.1581,0.9455,0.2257,entrenamiento
R0032,2026-01-04,C8,Manana,153,391,169,719.6544,54.8951,7,3.2100,1,152.3223,149.1271,10.5121,76530.6818,0.1861,-1.2392,1.5240,0.8487,entrenamiento
R0033,2026-01-05,C1,Manana,140,313,166,1532.2860,84.2962,9,27.3824,0,139.8720,136.4904,13.6888,103379.5777,0.0320,-0.3810,-0.1420,0.4822,entrenamiento
R0034,2026-01-05,C2,Tarde,156,540,143,671.1413,71.0942,14,14.9514,1,157.3311,162.7466,8.8230,68683.4265,0.5859,0.9013,-1.4421,0.1859,entrenamiento
R0035,2026-01-05,C3,Manana,135,231,161,1179.8915,46.4940,7,25.4578,0,135.9213,130.5500,10.0478,76505.8108,0.7167,0.3704,0.0439,1.1967,entrenamiento
R0036,2026-01-05,C4,Manana,171,466,201,1794.3243,74.7505,7,23.9888,1,175.1945,173.9464,15.0717,113865.9667,0.0517,-1.4835,-0.2692,-1.2801,entrenamiento
R0037,2026-01-05,C5,Tarde,145,473,182,2098.7938,39.1249,8,27.1385,0,149.9020,149.5977,14.3390,105880.5401,-0.6913,2.2131,1.9260,0.9798,entrenamiento
R0038,2026-01-05,C6,Tarde,174,430,191,1813.1472,78.0560,7,3.7945,1,178.2555,173.6826,16.7651,123859.2269,1.2702,-0.1428,-1.0004,1.5163,entrenamiento
R0039,2026-01-05,C7,Manana,150,337,199,2041.6144,43.1659,15,28.7573,1,157.1567,135.9738,6.6886,51165.1754,0.5183,1.1697,-0.5346,-0.7427,entrenamiento
R0040,2026-01-05,C8,Tarde,186,341,214,936.9956,89.0152,9,0.2588,1,184.6350,183.1764,16.5581,123863.7795,-0.8809,-0.1580,0.8036,0.6979,entrenamiento
R0041,2026-01-06,C1,Manana,128,395,136,771.9948,44.9716,8,1.8407,0,130.1424,127.1481,9.5406,72253.2830,-0.2672,-1.3449,0.2857,0.8492,entrenamiento
