registro_id,fecha,centro,turno,pedidos,unidades,lineas,distancia_m,ocupacion_pct,operarios,urgentes_pct,promocion,carga_proxy_1,carga_proxy_2,horas_persona,costo_cierre_clp,ruido_1,ruido_2,ruido_3,ruido_4,rol_particion
R1201,2026-05-31,C1,Manana,161,292,162,978.1077,66.3550,12,29.0703,0,161.9518,153.0212,4.2835,33166.3902,0.6498,0.3264,0.3237,-0.4675,prueba
R1202,2026-05-31,C2,Tarde,163,463,216,1165.5921,50.5987,10,23.8648,0,163.0956,163.1304,10.5996,80075.9222,0.2152,0.7278,0.4771,-0.7224,prueba
R1203,2026-05-31,C3,Tarde,149,331,174,821.8481,50.3532,16,21.5753,1,151.4538,144.2486,8.3209,62604.5164,0.7994,-0.2185,-0.0320,0.0490,prueba
R1204,2026-05-31,C4,Manana,164,396,200,972.1006,36.8866,7,27.3993,0,162.4120,156.5909,13.0918,97886.8316,2.4937,-0.4790,-1.0991,-0.1348,prueba
R1205,2026-05-31,C5,Manana,131,364,131,1230.0608,44.3050,11,18.5442,1,133.0384,138.3979,8.4671,61493.9908,-0.1397,0.5380,-0.9541,1.5663,prueba
R1206,2026-05-31,C6,Manana,156,488,178,NA,90.4918,8,19.2040,0,159.3027,157.0155,16.9770,127362.8575,0.4653,-0.5242,0.3087,0.6732,prueba
R1207,2026-05-31,C7,Manana,151,493,193,1144.2926,44.3495,14,5.3087,1,150.3391,148.5663,9.3987,71020.8297,-0.5386,-1.6881,-0.0963,0.4937,prueba
R1208,2026-05-31,C8,Tarde,144,365,176,734.6838,35.9688,16,13.3431,1,144.3965,140.4785,11.4638,86124.3277,-1.3612,-0.4505,-0.6798,-0.9454,prueba
R1209,2026-06-01,C1,Tarde,161,357,184,1706.8366,70.9627,16,18.1615,1,164.0798,162.1118,9.5341,69853.5140,-0.4894,0.8578,0.9461,1.0672,prueba
R1210,2026-06-01,C2,Manana,148,298,181,796.7730,63.6390,13,13.7003,0,148.7747,144.6916,3.6580,27057.6881,-1.0414,-0.0403,-0.7089,-0.0100,prueba
R1211,2026-06-01,C3,Tarde,149,318,164,1091.3575,38.0004,16,25.9383,1,149.5965,141.2939,9.1889,71250.7943,1.4707,0.4255,1.8751,0.7078,prueba
R1212,2026-06-01,C4,Manana,140,418,139,688.1534,61.7255,8,3.2752,0,136.6221,140.7399,6.0302,44308.5767,-2.0685,0.8860,0.3099,-0.3105,prueba
R1213,2026-06-01,C5,Manana,152,530,149,759.8987,87.2867,17,4.3760,1,151.4371,148.5957,12.0534,91928.7358,0.6628,-0.5828,0.6794,-0.2234,prueba
R1214,2026-06-01,C6,Manana,141,277,193,NA,82.2111,14,12.1188,1,140.3055,138.4494,11.7004,88416.1257,-0.3699,-2.6997,0.1748,0.3067,prueba
R1215,2026-06-01,C7,Manana,135,343,166,1360.6422,59.6821,12,15.7148,0,132.1624,140.7365,3.2361,23701.5393,0.8995,-0.1401,1.8560,0.7143,prueba
R1216,2026-06-01,C8,Tarde,122,231,147,2028.1946,71.1100,16,8.2019,1,123.1523,120.9341,7.5605,57054.9491,0.0206,-1.2216,-1.7843,-0.9103,prueba
R1217,2026-06-02,C1,Manana,142,260,196,1608.3352,48.4618,15,3.5766,0,144.3877,144.3303,4.5644,32224.7665,1.5113,0.7182,0.3525,0.8324,prueba
R1218,2026-06-02,C2,Tarde,140,329,129,1296.5087,74.7627,10,22.9897,1,137.3735,138.0056,9.6219,73050.0597,-1.0634,0.7812,-0.2353,-0.6689,prueba
R1219,2026-06-02,C3,Manana,143,427,192,1647.3664,69.6691,17,26.1598,1,141.5204,151.3666,7.9573,59413.4925,-0.9753,1.1277,-2.1320,0.4032,prueba
R1220,2026-06-02,C4,Tarde,158,478,205,896.7699,48.1631,14,22.3335,0,150.7267,169.9114,11.3217,85825.2084,-0.2242,-0.7079,-0.8052,2.1873,prueba
R1221,2026-06-02,C5,Tarde,144,350,143,NA,86.5184,14,20.2749,1,141.8743,144.4089,15.0646,113164.1557,-0.6076,0.2548,0.2808,0.3948,prueba
R1222,2026-06-02,C6,Manana,151,238,200,2126.0101,79.5536,11,14.9703,1,155.5385,145.3227,8.9749,66897.4506,0.5942,-0.5550,0.1510,-0.1155,prueba
