registro_id,fecha,centro,turno,pedidos,unidades,lineas,distancia_m,ocupacion_pct,operarios,urgentes_pct,promocion,carga_proxy_1,carga_proxy_2,horas_persona,costo_cierre_clp,ruido_1,ruido_2,ruido_3,ruido_4,rol_particion
R0961,2026-05-01,C1,Tarde,148,492,166,2069.9598,63.7684,7,29.7578,0,149.1555,150.9794,12.0633,89098.5886,0.6422,-1.7326,-0.2530,-0.5823,validacion
R0962,2026-05-01,C2,Manana,152,452,193,2191.6208,NA,7,16.9434,0,145.6325,161.4715,9.9559,74057.9252,-0.5618,-0.6575,-0.1220,-0.6640,validacion
R0963,2026-05-01,C3,Manana,128,386,128,1779.2771,77.4049,15,21.2868,1,125.8985,120.1441,10.1466,75347.1162,0.7080,-0.2471,0.1040,-1.7537,validacion
R0964,2026-05-01,C4,Tarde,178,500,163,1256.0834,78.2015,17,12.8529,0,177.9114,173.6582,13.5279,100540.4878,0.1697,0.2448,-1.5313,1.3325,validacion
R0965,2026-05-01,C5,Manana,162,371,224,1002.7873,51.9965,11,3.9823,0,162.8973,152.1891,9.2432,67031.9383,1.5432,-0.4074,0.2865,0.6000,validacion
R0966,2026-05-01,C6,Tarde,153,368,139,1806.3616,83.1955,11,20.8992,1,147.6921,152.6803,12.3759,93535.2595,0.1649,0.1220,1.6354,-0.0315,validacion
R0967,2026-05-01,C7,Tarde,149,285,170,1989.6383,73.9876,15,20.4778,0,149.6134,145.0080,7.9108,60537.1297,0.2414,1.1457,-0.4763,0.0296,validacion
R0968,2026-05-01,C8,Manana,152,336,188,900.7902,38.9891,9,21.1821,1,158.3233,159.7476,11.8282,86699.5751,-0.8477,-1.4682,1.8066,0.5339,validacion
R0969,2026-05-02,C1,Tarde,152,406,188,948.2187,81.8044,13,18.6987,0,153.7687,155.2749,11.3492,85496.3315,0.5203,1.9540,0.8376,-0.7533,validacion
R0970,2026-05-02,C2,Manana,145,404,144,1480.6610,49.2753,17,3.3208,1,147.6526,146.9645,4.8606,35760.4781,0.0635,0.8088,-0.1896,-0.8471,validacion
R0971,2026-05-02,C3,Manana,137,259,139,792.2749,81.5348,15,14.7693,0,133.8662,133.0909,7.5139,56208.9422,-0.1356,-0.4231,2.3965,-0.5114,validacion
R0972,2026-05-02,C4,Manana,152,360,201,1330.1853,73.1936,12,19.3252,1,150.7725,152.4006,6.2164,45981.3935,0.2937,0.3224,-0.7532,-0.0672,validacion
R0973,2026-05-02,C5,Manana,140,233,193,1806.7253,38.3918,12,18.5536,0,142.7691,135.9658,7.6184,55852.9300,-0.5187,0.1230,-2.0990,2.8067,validacion
R0974,2026-05-02,C6,Tarde,138,331,184,2101.6073,61.0315,14,5.0062,1,142.7648,130.7883,6.8194,51552.4612,-0.1869,1.6460,-1.0967,0.1308,validacion
R0975,2026-05-02,C7,Tarde,135,223,134,817.3560,70.9982,8,19.2945,1,135.1859,142.5199,8.8605,64699.9677,0.6766,-0.6753,-0.0271,-0.2471,validacion
R0976,2026-05-02,C8,Tarde,167,339,173,1166.9956,61.9133,11,15.3791,1,168.0873,174.6677,9.6621,72475.8497,0.4873,0.7120,0.3334,-0.8900,validacion
R0977,2026-05-03,C1,Tarde,151,440,177,1758.9013,84.9735,15,24.6738,0,143.8230,154.1021,12.3247,91565.1583,1.1341,0.0004,0.9250,0.6600,validacion
R0978,2026-05-03,C2,Manana,173,466,168,1030.3859,74.4319,8,10.9780,1,174.8100,173.3415,10.4966,73940.0125,-0.6973,-0.5154,1.4232,-0.4281,validacion
R0979,2026-05-03,C3,Tarde,152,248,177,1957.3225,35.2534,14,11.9486,0,156.9264,148.1408,11.4194,87040.0111,0.5334,0.1743,-2.1841,1.4687,validacion
R0980,2026-05-03,C4,Manana,154,405,168,1963.6240,71.0876,13,6.1057,0,152.7888,154.9987,5.7449,38914.5298,0.0849,0.0170,0.7592,-0.6154,validacion
R0981,2026-05-03,C5,Manana,151,395,167,684.8949,35.2495,17,6.6000,0,150.6390,162.0282,10.7025,82059.3505,-0.0255,-0.5411,1.8282,0.6186,validacion
R0982,2026-05-03,C6,Tarde,151,343,155,1278.0327,64.3530,17,28.6841,0,147.4009,155.1088,5.6760,42631.7957,0.8845,1.6113,0.5509,0.2315,validacion
R0983,2026-05-03,C7,Manana,155,245,146,1247.6372,85.0169,13,5.8237,1,153.8786,153.4526,10.9074,82462.2086,1.3612,-0.8393,-0.9021,0.2046,validacion
R0984,2026-05-03,C8,Tarde,154,444,149,1910.4926,56.8937,8,12.0835,0,156.9005,159.1916,10.2802,76572.3468,-0.1580,2.1718,0.2211,-0.9594,validacion
R0985,2026-05-04,C1,Manana,135,209,185,1641.3693,45.5739,17,0.5434,0,128.9369,142.9852,7.4226,56275.6350,0.9200,-2.1332,2.0253,-2.7041,validacion
R0986,2026-05-04,C2,Tarde,175,402,170,738.8259,56.3813,15,16.3921,0,180.0852,169.0067,9.8019,70967.3008,-0.5341,-0.1334,0.4535,1.1721,validacion
R0987,2026-05-04,C3,Tarde,153,497,184,1974.1171,49.1609,14,2.1290,0,156.0886,152.9261,10.4694,78246.8489,0.8458,0.3305,-0.0623,-1.1012,validacion
R0988,2026-05-04,C4,Manana,135,303,124,1403.3167,62.0912,17,3.4735,0,133.3986,138.3752,7.6527,57763.5744,-0.8026,-0.3392,0.5919,-0.0770,validacion
R0989,2026-05-04,C5,Manana,171,330,220,631.2765,82.5230,15,20.6157,1,167.9526,178.4975,12.8145,94676.1909,-0.4243,-0.9309,0.6402,0.0917,validacion
R0990,2026-05-04,C6,Tarde,168,297,171,714.5231,40.7057,14,11.1739,0,168.6269,173.3803,8.7788,64623.4837,0.4041,0.2398,0.4018,-0.0998,validacion
R0991,2026-05-04,C7,Manana,153,524,181,451.2295,38.2452,10,22.4943,0,156.0807,151.7126,12.9075,97582.5400,0.3525,1.0202,-0.0498,-2.4973,validacion
R0992,2026-05-04,C8,Manana,125,279,162,1626.0822,48.5452,11,0.9831,1,121.4677,123.4907,3.3739,24628.1958,0.6152,0.1411,-0.9578,-0.2329,validacion
R0993,2026-05-05,C1,Tarde,145,240,174,636.9120,89.0490,10,1.5617,0,142.7010,146.2176,12.4910,93599.6047,1.5022,0.8655,3.1610,0.0596,validacion
R0994,2026-05-05,C2,Tarde,143,406,186,651.1917,67.6974,13,0.6033,1,137.7848,138.7659,7.3856,55568.7523,1.3511,0.3775,-0.9862,-0.3654,validacion
R0995,2026-05-05,C3,Manana,142,427,198,1346.8379,86.1404,16,13.5545,0,144.3035,147.1047,11.4183,86015.7866,0.1447,-1.0021,-0.9672,-0.7838,validacion
R0996,2026-05-05,C4,Tarde,167,364,187,NA,NA,7,13.4557,1,170.0165,160.7183,12.4740,94541.3937,0.5601,-0.7742,1.2932,0.9702,validacion
R0997,2026-05-05,C5,Tarde,144,503,149,415.7799,91.2023,17,1.5512,0,148.1511,146.5425,14.9463,110496.6813,-0.0841,-0.5600,-1.3694,0.2010,validacion
R0998,2026-05-05,C6,Manana,156,424,142,954.1701,69.7635,8,17.2855,0,160.8495,161.7075,10.2957,78664.7539,2.0157,-1.4896,-0.7023,-1.4476,validacion
R0999,2026-05-05,C7,Tarde,153,295,149,713.1742,58.3440,13,3.6068,1,157.6635,152.6520,6.0070,46287.5985,-0.2590,0.7842,0.9063,-0.2536,validacion
R1000,2026-05-05,C8,Tarde,153,500,177,1818.6822,73.0135,9,20.9644,1,151.8540,152.7993,10.4519,78829.6284,-1.6301,0.0943,1.3257,1.3743,validacion
R1001,2026-05-06,C1,Tarde,164,428,200,1556.1555,39.6587,10,8.7407,1,162.6477,160.9164,15.0998,112354.7114,0.5837,-0.0878,0.4789,-1.0362,validacion
R1002,2026-05-06,C2,Manana,136,423,141,489.0551,81.4533,13,25.8780,1,135.5389,134.1048,9.7826,72278.4642,0.1427,0.5364,0.4044,-0.1792,validacion
R1003,2026-05-06,C3,Tarde,138,358,178,1587.3946,60.3559,13,14.8550,0,139.9288,142.3208,5.1626,39539.6589,0.5471,1.1014,0.2860,-0.4431,validacion
R1004,2026-05-06,C4,Manana,158,241,157,475.9896,79.7014,7,20.8818,1,158.9957,158.4306,9.5853,71213.9858,0.5156,-1.0281,-1.0363,1.3572,validacion
R1005,2026-05-06,C5,Tarde,152,311,203,546.3272,35.6551,9,25.8059,0,152.3604,152.2068,11.9627,88390.5409,-0.6581,2.0768,0.5905,0.5626,validacion
R1006,2026-05-06,C6,Tarde,144,390,169,1380.5202,75.8298,14,29.0354,1,146.1841,147.2858,9.9509,73983.1415,0.9073,1.3873,-1.4941,0.3001,validacion
R1007,2026-05-06,C7,Tarde,127,230,124,1073.5835,72.1349,14,5.1142,0,130.2614,131.4426,3.2598,26730.0855,0.3063,-0.8061,-0.4754,0.4612,validacion
R1008,2026-05-06,C8,Tarde,148,341,167,2010.4411,42.2612,16,6.4231,0,150.4220,147.9161,10.1680,74401.0101,-0.2079,1.6399,0.8882,1.3820,validacion
R1009,2026-05-07,C1,Tarde,147,281,169,1030.3356,42.9749,15,9.6273,0,145.9795,146.6548,7.0225,51770.0001,0.2352,-0.6125,-1.7888,-0.5021,validacion
R1010,2026-05-07,C2,Manana,139,351,139,678.5144,73.3142,7,25.7461,0,139.7571,134.3194,10.1968,78722.8152,-0.9638,-1.7646,1.3180,-0.4520,validacion
R1011,2026-05-07,C3,Manana,161,456,153,1866.4509,79.1255,11,25.2223,1,159.9513,158.7843,13.0414,100911.4228,1.9586,-1.1356,-0.9597,-0.6776,validacion
R1012,2026-05-07,C4,Manana,142,472,191,1436.3879,68.3146,15,19.8539,0,147.7248,143.7318,8.0813,61516.0134,0.6361,0.3969,-0.6338,0.4388,validacion
R1013,2026-05-07,C5,Tarde,121,359,152,1863.5794,77.1789,13,16.1446,1,118.1472,116.3382,8.7426,66370.9521,0.1032,0.2898,-0.5747,0.7037,validacion
R1014,2026-05-07,C6,Manana,162,409,168,740.7915,59.3349,10,12.0762,0,161.1741,154.9051,7.6727,55532.9082,-0.4020,-1.0926,0.6551,-1.6598,validacion
R1015,2026-05-07,C7,Tarde,136,439,160,1992.0806,61.3569,16,19.5910,1,134.1465,132.1159,7.0138,51627.9492,-0.9669,1.0434,-0.6153,1.2386,validacion
