ventana_id,terminal,camiones_cola,muelles_activos,peso_t,revision_documental,operarios,prioridad,cola_proxy,codigo_aleatorio,espera_min,costo_espera_real_clp
V0001,Sur,9,4,3.2676,0,5,0,9.3719,1842,17.3903,31249.1907
V0002,Norte,8,3,17.9192,0,6,0,7.8394,1995,20.6910,37287.8732
V0003,Norte,7,6,8.7618,1,11,0,6.3249,1378,10.1653,18275.0179
V0004,Sur,10,4,22.5026,0,10,0,10.3032,1222,24.6718,44374.6298
V0005,Sur,6,6,11.9069,0,10,0,6.0606,1890,10.5735,18943.1683
V0006,Centro,10,2,14.5960,0,13,0,9.7945,2015,35.5921,64183.1914
V0007,Norte,5,2,5.9635,1,13,0,4.7617,1495,22.7367,40901.0918
V0008,Centro,7,2,5.4722,0,5,0,6.8314,1224,28.1885,50772.1240
V0009,Centro,5,4,13.6329,1,14,0,4.7438,1354,17.0733,30557.2878
V0010,Centro,4,5,17.9741,1,7,0,4.6293,2167,14.8692,26764.8765
V0011,Centro,4,3,11.1853,0,7,0,3.9941,1557,7.3315,13259.2239
V0012,Centro,3,6,7.5049,0,7,1,3.1050,2031,4.4609,7966.7250
V0013,Sur,4,6,2.9717,1,4,0,4.0080,1396,9.9264,17775.1435
V0014,Norte,7,3,18.3760,0,4,0,6.4567,1081,18.9023,33739.8525
V0015,Norte,5,4,18.4708,0,9,0,4.8296,1791,13.8664,25004.2065
V0016,Centro,7,5,8.1897,0,4,0,6.5998,1400,10.9180,19510.8509
V0017,Centro,3,5,16.5761,0,4,0,3.3154,1083,3.4424,6227.3239
V0018,Norte,6,6,16.0063,1,6,0,6.1092,1163,11.1812,20136.1635
V0019,Sur,6,5,9.4815,0,7,1,5.9550,1806,8.7906,15637.5368
V0020,Centro,3,6,15.6410,1,9,0,3.1958,1099,11.4601,20587.8865
V0021,Sur,7,5,5.5661,0,8,0,7.4087,1723,8.4188,15172.5766
V0022,Sur,7,2,5.8632,0,8,0,7.2035,1649,20.2044,36349.1968
V0023,Centro,7,5,9.2950,0,8,0,7.1695,1171,12.9529,23239.0184
V0024,Centro,6,5,15.9265,0,14,0,5.5203,1764,9.6800,17487.0577
V0025,Centro,7,2,4.7846,1,10,0,6.7641,1746,24.1200,43328.7009
V0026,Centro,3,4,22.4466,0,7,0,3.4719,1854,8.8222,15949.8039
V0027,Sur,2,5,6.1820,0,6,0,2.2242,1135,6.1645,10990.6977
V0028,Norte,8,3,11.6155,1,4,0,7.1032,2065,25.3492,45523.0972
V0029,Centro,6,5,10.5916,0,7,0,6.1661,1346,8.6327,15579.3410
V0030,Sur,3,2,9.2835,0,11,0,2.3207,2058,5.0907,9205.7318
V0031,Centro,7,5,4.1606,0,12,0,6.5903,1773,10.4758,18924.5321
V0032,Sur,6,4,4.7588,0,4,0,5.1833,1309,11.0324,19804.3681
V0033,Sur,3,6,23.3735,0,8,0,2.9432,1727,9.9632,18039.2249
V0034,Sur,9,3,9.7581,1,9,0,8.8033,1777,25.8056,46350.4680
V0035,Centro,3,6,7.7196,0,8,0,3.0188,2104,1.7291,2858.5971
V0036,Norte,6,6,19.5120,1,9,0,5.7841,1638,11.6740,20925.3792
V0037,Centro,5,4,23.3304,0,14,0,5.3466,2076,12.4281,22319.3515
V0038,Norte,8,6,7.1936,0,4,0,7.9824,1907,13.2179,23917.6468
V0039,Centro,7,2,13.5526,0,9,0,7.0554,2145,24.5998,44464.8685
V0040,Sur,7,3,16.4974,0,8,0,7.0709,1323,20.3549,36559.9727
V0041,Centro,4,3,21.6194,0,5,0,4.4724,1085,12.8337,23239.3177
V0042,Centro,6,3,10.9300,0,10,0,5.8371,1724,13.5380,24335.0589
V0043,Centro,8,5,17.7993,0,9,0,8.3483,1911,12.4643,22452.6835
V0044,Norte,7,4,4.5420,0,5,0,7.3044,1873,15.4401,27862.0725
V0045,Centro,5,6,21.7727,0,8,0,5.0863,1442,6.2140,11298.6931
V0046,Sur,3,4,2.9976,1,13,0,2.9323,2101,8.9582,16136.6394
V0047,Norte,9,6,19.8592,0,8,0,9.2039,1971,14.6819,26345.2921
V0048,Sur,5,5,14.6505,1,4,0,4.9862,1087,8.0297,14480.5216
V0049,Centro,4,4,5.1853,0,8,0,3.5224,1312,3.4453,6048.3939
V0050,Sur,5,6,2.0314,0,4,0,5.2421,2119,5.7003,10163.4463
V0051,Centro,3,3,11.0989,0,6,1,3.0894,2055,7.4460,13336.0680
V0052,Centro,11,6,9.6736,0,13,0,10.9633,2087,18.1913,32837.4985
V0053,Centro,4,2,4.8458,1,12,0,4.0291,1021,13.7882,24906.6523
V0054,Centro,9,3,9.4849,0,11,0,8.9368,1887,22.6880,40798.0900
V0055,Sur,5,5,17.4165,0,10,0,4.8472,1342,7.1104,12662.0878
