ventana_id,terminal,camiones_cola,muelles_activos,peso_t,revision_documental,operarios,prioridad,cola_proxy,codigo_aleatorio,espera_min,costo_espera_real_clp
V0901,Centro,3,5,9.2214,1,10,0,3.3204,1115,10.2630,18582.4722
V0902,Sur,11,3,19.8141,0,4,0,11.1359,1511,26.1966,47143.0997
V0903,Centro,11,6,2.0319,0,8,0,10.9376,1719,18.4214,33022.4585
V0904,Centro,4,2,16.9845,0,12,1,3.6164,1532,9.6457,17414.7258
V0905,Centro,5,4,9.5222,0,9,0,4.9237,1574,7.5482,13517.1656
V0906,Centro,7,6,17.9989,0,8,0,7.3984,2071,8.1718,14543.7482
V0907,Sur,4,4,10.9734,0,14,0,4.0677,1230,4.5035,8105.9494
V0908,Centro,9,6,8.4876,0,14,0,9.1339,1573,14.7749,26819.4419
V0909,Norte,7,5,20.3261,0,10,0,6.8321,1672,8.8134,15968.4237
V0910,Centro,8,2,20.8013,0,7,0,8.7343,1809,31.3478,56444.9975
V0911,Sur,3,4,23.8634,0,6,0,3.0377,1263,10.5135,19021.1778
V0912,Sur,8,6,10.2584,0,10,1,8.3885,1712,13.6904,24578.9264
V0913,Sur,4,3,9.8848,0,5,1,4.5039,1044,11.2373,20062.5219
V0914,Sur,8,2,2.4894,0,13,0,8.2838,1276,22.4155,40314.3115
V0915,Norte,4,6,8.3521,0,13,1,3.7325,1250,6.1530,11166.7314
V0916,Centro,7,6,5.6441,0,9,0,7.1975,1122,6.9843,12635.5123
V0917,Centro,6,2,3.5601,0,12,0,6.0946,1390,15.6182,28010.6559
V0918,Sur,4,4,5.3072,0,10,0,3.9677,1721,5.1714,9345.5713
V0919,Sur,6,6,13.5665,0,6,0,5.9820,1338,6.2062,11275.4732
V0920,Centro,3,5,18.7853,0,6,0,3.3117,1353,6.0895,10952.0455
V0921,Norte,8,2,12.2932,0,11,0,7.8108,1283,29.3083,52852.6249
V0922,Norte,11,6,13.3693,1,8,0,11.3316,1871,24.9297,44971.5251
V0923,Sur,4,6,8.6046,0,10,1,4.4577,1098,5.1935,9336.5788
V0924,Norte,6,4,21.8207,1,9,0,6.4377,1071,16.8487,30384.4841
V0925,Centro,4,6,12.2109,0,6,0,3.6629,1830,5.4103,9674.2730
V0926,Sur,4,5,17.6630,0,9,0,3.7510,1397,4.5779,8297.1338
V0927,Centro,9,4,9.1372,0,4,0,8.8619,1339,22.1228,39949.4170
V0928,Sur,4,4,10.0412,0,7,0,3.3391,2149,5.3048,9456.4542
V0929,Norte,7,3,11.1089,0,7,0,7.3765,1865,19.2820,34822.7066
V0930,Norte,5,4,22.8996,0,14,1,5.0666,1713,10.8780,19728.8766
V0931,Norte,9,5,16.4004,0,6,0,8.6612,1992,19.7682,35624.3069
V0932,Norte,5,4,15.9073,0,11,1,5.3208,1022,8.0134,14464.1203
V0933,Norte,10,6,23.3624,0,11,0,9.6174,1145,16.8831,30422.1326
V0934,Centro,3,5,21.6434,0,13,0,3.0348,1966,10.1164,18413.9391
V0935,Centro,3,3,14.5338,0,7,0,2.6415,1882,9.5416,17084.4549
V0936,Centro,4,2,10.4424,1,8,0,4.4504,2086,17.3875,31318.2778
V0937,Sur,7,6,5.6893,0,4,1,7.3341,1872,12.3454,22054.9186
V0938,Centro,6,6,16.4053,0,12,0,6.3901,1141,5.5779,10149.0334
V0939,Sur,2,4,9.3018,0,13,0,2.7230,1610,7.5846,13525.8887
V0940,Norte,9,5,17.0598,0,6,0,9.5483,1028,15.6180,28295.7401
V0941,Centro,10,3,12.6751,0,5,0,9.9983,1402,28.0634,50542.4514
V0942,Norte,5,2,12.3912,0,6,0,4.7300,1533,15.8815,28620.0205
V0943,Sur,3,2,11.1871,1,10,0,2.4189,1318,12.8668,23084.6596
V0944,Sur,6,5,21.5180,1,14,0,6.1510,1027,17.1243,30832.4787
V0945,Sur,3,3,5.8251,0,11,1,2.8215,1542,1.8528,3335.4384
V0946,Sur,11,6,8.8867,1,4,0,10.5740,1682,21.8561,39576.4290
V0947,Norte,4,2,13.6429,0,11,0,3.5787,1792,10.9376,19948.9119
V0948,Sur,6,2,2.5660,0,4,0,6.2108,2107,17.7655,31848.2024
V0949,Centro,10,5,22.8198,1,8,0,10.1593,1914,31.3031,56360.6713
V0950,Sur,6,5,15.9941,0,12,0,5.8319,1990,14.6106,26396.7525
V0951,Sur,2,5,12.5997,0,12,0,1.6825,1751,8.5801,15519.8043
V0952,Norte,5,6,9.7255,0,6,0,4.5372,1867,7.3547,13263.9079
V0953,Centro,2,2,14.1581,0,12,0,2.1390,1484,7.4868,13346.2436
V0954,Sur,4,4,19.4787,0,4,0,4.3186,1618,8.7010,15679.6544
V0955,Norte,6,4,9.0228,0,5,0,5.8156,1072,11.5509,20881.4097
V0956,Centro,5,3,11.1104,1,11,0,4.8288,1120,14.0122,25162.0758
V0957,Norte,5,5,8.6223,0,5,0,4.9826,1092,5.3232,9632.2207
V0958,Centro,3,3,3.4649,0,12,0,3.0781,1678,3.4873,6469.8675
V0959,Centro,7,4,12.8327,0,4,0,7.0171,1155,13.6934,24709.2689
V0960,Norte,6,6,2.5080,0,5,0,6.7781,1744,4.0298,7332.7811
V0961,Norte,6,3,5.9286,1,14,0,5.8521,1384,16.6551,29979.5962
V0962,Sur,1,5,23.2112,0,5,0,1.0136,1796,8.3319,15068.1594
V0963,Sur,5,6,22.3783,0,9,0,5.1078,1734,5.9308,10602.6949
V0964,Norte,6,5,7.2456,0,11,0,6.1144,1105,7.0076,12686.6798
V0965,Sur,3,6,21.8431,1,11,0,2.8282,1622,14.1863,25793.6251
V0966,Centro,7,4,11.4246,1,12,1,7.6286,1780,23.3861,42127.6479
V0967,Norte,4,4,11.5391,0,9,1,4.3371,1274,1.8878,3540.9161
V0968,Sur,4,5,3.2476,0,6,1,4.1436,1107,3.5697,6374.8275
V0969,Norte,5,2,8.1895,0,10,0,5.2347,1075,11.7072,20906.5303
V0970,Norte,11,6,13.4897,0,9,0,11.0944,1376,19.9213,35897.3899
V0971,Centro,6,5,16.3520,0,4,0,6.2166,2079,10.5804,19089.9960
V0972,Norte,4,5,7.2931,0,4,1,3.7938,1272,8.6444,15398.3752
V0973,Sur,3,2,11.8072,0,13,0,2.6729,1246,9.2990,16689.7034
V0974,Centro,5,2,22.5339,0,4,0,5.2452,1157,14.1431,25352.9406
V0975,Norte,1,4,6.8687,0,10,0,1.0548,1906,4.4992,8224.1829
V0976,Centro,7,2,11.1638,0,6,0,7.5932,1317,31.1738,56045.9393
V0977,Sur,8,2,6.3213,0,10,0,8.1964,1245,29.2532,52715.8303
V0978,Norte,8,3,6.4589,0,14,0,8.1026,1880,17.7204,32076.2472
V0979,Norte,7,4,20.2613,0,6,0,7.0176,1252,16.4157,29422.0034
V0980,Sur,6,3,7.5859,0,8,0,6.3303,1437,16.3931,29458.4850
V0981,Norte,4,3,11.9009,0,10,0,4.1186,1840,5.5484,10045.8921
V0982,Centro,5,5,23.8478,0,14,0,4.7709,1045,10.9716,19853.0921
V0983,Centro,7,5,15.9107,1,11,0,7.3860,2000,18.3482,33081.8544
V0984,Sur,5,5,15.1120,0,9,0,5.0692,2103,2.2588,4118.2849
V0985,Norte,4,4,16.0844,0,8,0,4.1785,1431,6.2456,11187.4495
V0986,Norte,5,3,18.6064,1,12,1,5.1831,1983,14.9362,26907.4708
V0987,Sur,9,3,12.5863,0,6,1,8.9658,1380,21.5645,38763.4259
V0988,Centro,6,5,13.0690,0,5,0,5.8996,1281,7.0602,12641.8195
V0989,Sur,2,3,16.8733,0,5,0,2.4354,1391,6.7335,12316.4612
V0990,Centro,4,4,16.3440,1,8,1,4.2404,1247,14.2064,25714.0714
V0991,Centro,9,4,20.1359,0,14,0,9.7401,1847,22.1406,39657.6583
V0992,Sur,6,2,19.8377,0,5,0,6.0609,1516,19.6130,35646.2483
V0993,Norte,6,5,4.3053,0,9,0,6.2171,1709,9.4733,17093.8651
V0994,Norte,8,2,18.6441,0,5,0,7.9390,2143,28.9048,52088.6508
V0995,Sur,7,2,10.0644,0,9,0,7.3841,1716,27.9236,50256.6404
V0996,Centro,9,3,9.0789,1,13,0,9.3119,1297,26.4255,47661.1026
V0997,Norte,6,2,11.0914,0,7,0,6.0465,1849,17.0777,30647.1976
V0998,Sur,5,3,3.2608,0,5,1,4.3373,2166,9.1536,16530.5650
V0999,Centro,7,3,12.8939,0,14,1,6.5168,1702,21.7816,39170.2155
V1000,Norte,2,4,21.1107,0,7,0,2.2078,1227,6.6546,11811.9896
V1001,Centro,5,2,22.5259,1,14,0,5.4543,1974,22.0426,39760.9351
V1002,Sur,7,2,12.8332,0,6,1,7.0838,1175,28.3418,50947.1813
V1003,Norte,6,4,6.9823,0,9,0,6.1027,1653,6.5909,11859.0564
V1004,Sur,9,6,19.3063,1,10,0,9.0680,1203,21.9528,39385.9282
V1005,Sur,4,6,17.4256,0,11,0,3.8433,1813,4.4941,8092.5978
V1006,Sur,3,5,10.2132,0,8,0,3.0645,1472,2.1889,4069.1563
