pedido_id,semana,centro,canal,camiones_cola,distancia_km,holgura_min,revision_documental,urgente,incidencias_previas,carga_proxy,atraso,compensacion_real_clp
P0001,1,Norte,Web,5,14.2881,15.5383,1,0,1,5.0370,1,112403.9155
P0002,1,Norte,Sucursal,6,NA,26.5230,0,0,0,6.3333,0,0.0000
P0003,1,Norte,Web,7,170.9390,34.8901,0,0,1,7.4624,0,0.0000
P0004,1,Sur,Empresa,7,78.4568,9.8048,0,0,2,6.5842,0,0.0000
P0005,1,Centro,Sucursal,8,57.6111,16.5810,1,0,2,7.7561,1,120976.8529
P0006,1,Sur,Empresa,6,49.4136,18.8635,0,0,3,5.9869,0,0.0000
P0007,1,Sur,Sucursal,5,140.2521,36.2876,0,1,1,5.6194,0,0.0000
P0008,1,Norte,Sucursal,9,90.6699,8.9822,0,1,1,8.7220,0,0.0000
P0009,1,Sur,Sucursal,5,74.9814,39.0920,0,0,0,5.2166,0,0.0000
P0010,1,Sur,Sucursal,4,78.2518,35.5878,0,0,1,4.0386,1,113480.6690
P0011,1,Centro,Web,6,NA,15.4655,0,0,0,5.6619,0,0.0000
P0012,1,Norte,Sucursal,7,82.4083,8.0381,0,0,2,6.7913,0,0.0000
P0013,1,Sur,Empresa,9,179.3483,27.4288,1,0,1,8.9785,0,0.0000
P0014,1,Sur,Sucursal,4,68.5428,21.8980,0,0,0,3.3584,0,0.0000
P0015,1,Sur,Web,2,123.6464,27.4222,0,0,1,2.1269,0,0.0000
P0016,1,Norte,Sucursal,11,15.5518,16.8210,0,0,1,11.3842,0,0.0000
P0017,1,Sur,Empresa,3,40.3325,39.9833,0,0,2,3.5076,0,0.0000
P0018,1,Norte,Sucursal,6,75.1139,28.8479,0,0,0,5.9998,1,104586.7966
P0019,1,Sur,Web,3,99.2763,26.8594,1,0,1,3.0852,0,0.0000
P0020,1,Sur,Web,1,88.5586,8.1054,0,0,1,0.8500,0,0.0000
P0021,1,Centro,Empresa,4,17.5203,22.4113,0,1,0,4.4443,0,0.0000
P0022,1,Centro,Web,10,13.5322,24.0046,0,0,0,9.9400,0,0.0000
P0023,1,Centro,Empresa,6,105.2800,38.8527,0,0,0,5.7969,0,0.0000
P0024,1,Norte,Sucursal,6,118.1221,7.7871,0,1,3,5.9545,1,124023.6673
P0025,1,Sur,Sucursal,5,168.9560,23.4351,0,1,2,4.9809,0,0.0000
P0026,1,Norte,Empresa,4,9.6670,12.3505,1,0,0,3.8372,1,124322.0421
P0027,1,Centro,Web,9,102.1746,27.6554,0,1,2,8.8675,0,0.0000
P0028,1,Sur,Empresa,7,8.5378,12.6643,0,0,2,6.7907,0,0.0000
P0029,1,Centro,Empresa,4,104.2757,17.7174,0,0,3,3.8164,0,0.0000
P0030,1,Sur,Sucursal,8,124.9474,12.5004,1,1,1,7.5182,1,127397.5507
P0031,1,Centro,Sucursal,10,97.5031,13.6005,0,1,2,10.0466,1,117395.5996
P0032,1,Norte,Empresa,4,89.0577,11.6002,1,0,1,3.6886,0,0.0000
P0033,1,Centro,Web,11,65.1109,32.8606,0,1,2,10.8192,0,0.0000
P0034,1,Norte,Web,5,83.7016,15.0573,0,1,0,5.6072,0,0.0000
P0035,1,Sur,Sucursal,9,177.5758,13.4833,0,1,0,9.1719,0,0.0000
P0036,1,Sur,Empresa,10,169.0496,29.6490,1,1,0,10.1632,1,128822.2798
P0037,1,Norte,Sucursal,11,30.5365,23.4819,0,0,2,10.9850,0,0.0000
P0038,1,Norte,Sucursal,6,44.5183,21.5948,0,0,1,6.2398,0,0.0000
