pedido_id,semana,centro,canal,camiones_cola,distancia_km,holgura_min,revision_documental,urgente,incidencias_previas,carga_proxy,atraso,compensacion_real_clp
P1501,16,Sur,Web,3,133.0184,21.8350,0,0,1,2.4980,0,0.0000
P1502,16,Sur,Sucursal,10,129.2199,22.9502,0,0,4,10.2531,0,0.0000
P1503,16,Sur,Empresa,4,58.7143,17.1089,0,0,1,4.2704,0,0.0000
P1504,16,Norte,Empresa,7,50.2212,33.4024,0,0,0,7.2506,0,0.0000
P1505,16,Norte,Sucursal,6,135.3836,28.4386,0,0,1,5.3431,0,0.0000
P1506,16,Norte,Sucursal,3,112.1153,24.3368,0,0,0,3.5665,0,0.0000
P1507,16,Norte,Web,13,9.2298,9.2213,0,0,1,13.0496,0,0.0000
P1508,16,Centro,Empresa,9,168.5093,19.3106,0,0,1,9.1073,0,0.0000
P1509,16,Norte,Sucursal,7,22.5547,38.8231,0,0,1,7.0439,0,0.0000
P1510,16,Centro,Sucursal,7,163.4266,22.7370,0,0,1,7.2674,0,0.0000
P1511,16,Norte,Sucursal,5,174.7982,34.6423,0,0,0,5.1124,0,0.0000
P1512,16,Norte,Web,4,41.3222,24.8313,0,0,0,3.7840,0,0.0000
P1513,16,Sur,Empresa,5,140.2146,6.2324,0,0,1,4.7030,0,0.0000
P1514,16,Sur,Empresa,5,159.2347,24.8700,1,0,1,5.1931,0,0.0000
P1515,16,Centro,Sucursal,5,71.7701,32.8857,0,1,3,4.8373,0,0.0000
P1516,16,Sur,Web,5,71.6749,23.0837,0,0,0,4.7982,0,0.0000
P1517,16,Norte,Empresa,4,176.5621,23.6220,0,0,0,3.8516,0,0.0000
P1518,16,Sur,Empresa,7,44.1361,28.7625,1,1,2,7.3496,0,0.0000
P1519,16,Norte,Sucursal,8,94.6506,14.4760,0,0,0,7.7062,0,0.0000
P1520,16,Sur,Web,4,16.1321,23.3997,1,0,0,4.4690,0,0.0000
P1521,16,Sur,Web,8,22.6155,28.9727,0,0,1,7.5934,0,0.0000
P1522,16,Norte,Empresa,9,119.5264,35.7620,0,1,0,9.0480,0,0.0000
P1523,16,Norte,Web,7,158.9837,31.1076,0,0,0,7.5511,0,0.0000
P1524,16,Sur,Web,3,158.5572,16.2758,0,0,0,3.3713,0,0.0000
P1525,16,Norte,Web,2,157.8918,37.2420,1,1,4,1.5861,0,0.0000
P1526,16,Centro,Sucursal,4,10.7464,12.6208,0,0,3,3.4867,1,126789.5716
P1527,16,Sur,Web,5,87.0841,28.9168,0,0,3,4.1155,0,0.0000
P1528,16,Centro,Empresa,4,141.7088,27.6404,0,0,1,4.0047,0,0.0000
P1529,16,Sur,Web,13,68.7336,36.2023,0,0,0,13.2122,0,0.0000
P1530,16,Centro,Web,9,152.1632,11.5310,0,0,2,8.4022,1,119811.7586
P1531,16,Centro,Empresa,6,32.8309,30.2764,0,0,1,6.4013,0,0.0000
P1532,16,Centro,Sucursal,5,126.7488,16.0637,0,0,0,5.2641,0,0.0000
P1533,16,Centro,Web,2,45.3156,8.9533,0,0,0,2.0928,0,0.0000
P1534,16,Centro,Empresa,1,136.3560,9.6624,0,0,0,0.4994,0,0.0000
P1535,16,Centro,Empresa,3,38.9380,35.0478,0,0,2,3.7461,0,0.0000
P1536,16,Centro,Sucursal,9,127.9822,31.2214,0,0,1,8.9577,1,118106.6315
P1537,16,Centro,Sucursal,5,56.6432,33.5643,0,0,2,4.8101,0,0.0000
P1538,16,Norte,Sucursal,8,69.7217,35.0765,0,0,0,7.4753,1,122476.3730
P1539,16,Sur,Empresa,9,93.0578,34.0526,0,0,3,9.1215,0,0.0000
P1540,16,Sur,Web,5,NA,34.9764,0,0,1,4.6152,0,0.0000
P1541,16,Sur,Empresa,8,6.9988,33.5593,0,0,1,7.5620,0,0.0000
P1542,16,Sur,Web,5,88.6853,27.5066,0,0,2,4.1831,0,0.0000
P1543,16,Sur,Sucursal,3,NA,20.1487,0,0,2,2.9753,0,0.0000
P1544,16,Centro,Sucursal,8,84.7399,16.4156,0,0,5,7.6534,0,0.0000
P1545,16,Centro,Empresa,4,21.9386,21.1805,1,0,0,4.2463,0,0.0000
P1546,16,Sur,Web,3,6.1487,16.0704,0,0,0,2.9569,0,0.0000
P1547,16,Centro,Web,6,172.8167,15.6775,0,0,3,5.9800,0,0.0000
P1548,16,Sur,Web,8,147.3649,7.8333,1,1,0,8.0331,1,129573.8419
P1549,16,Sur,Web,4,104.6654,5.7865,0,1,2,4.2878,0,0.0000
P1550,16,Norte,Empresa,2,168.5783,15.5810,0,0,2,1.7027,0,0.0000
P1551,16,Centro,Web,9,52.0699,22.7891,0,0,0,9.0833,0,0.0000
P1552,16,Norte,Sucursal,6,35.2993,14.7753,0,0,1,6.2462,0,0.0000
P1553,16,Sur,Web,5,147.3522,23.2926,0,0,2,3.9899,0,0.0000
P1554,16,Norte,Web,1,178.5244,19.0199,0,1,4,1.2602,0,0.0000
P1555,16,Sur,Sucursal,1,89.7844,34.4192,0,1,0,1.2927,0,0.0000
P1556,16,Centro,Web,10,NA,24.4909,0,0,1,9.7665,0,0.0000
P1557,16,Centro,Sucursal,10,122.9909,32.8664,1,0,1,9.7660,0,0.0000
P1558,16,Sur,Web,5,24.7879,38.0820,0,0,0,5.3644,0,0.0000
P1559,16,Sur,Sucursal,4,140.1845,34.7827,0,0,1,3.6500,0,0.0000
P1560,16,Norte,Sucursal,11,5.8876,35.7586,0,0,2,10.9323,0,0.0000
P1561,16,Norte,Sucursal,8,54.7389,19.3067,0,0,1,7.7717,0,0.0000
P1562,16,Sur,Sucursal,9,162.5682,37.8245,0,1,1,8.3754,0,0.0000
