reclamo_id,senales_entrega,senales_factura,senales_producto,contactos_previos,canal,clase,rol_particion
C0001,3,2,0,1,Telefono,Facturacion,entrenamiento
C0002,2,2,0,3,Web,Facturacion,entrenamiento
C0003,1,1,0,0,Web,Entrega,entrenamiento
C0004,1,2,2,5,Telefono,Producto,entrenamiento
C0005,2,1,3,0,Telefono,Entrega,entrenamiento
C0006,1,0,2,3,Web,Facturacion,entrenamiento
C0007,3,2,1,3,Web,Facturacion,entrenamiento
C0008,0,0,1,3,Web,Facturacion,entrenamiento
C0009,1,0,0,3,Telefono,Entrega,entrenamiento
C0010,2,2,0,0,Web,Entrega,entrenamiento
C0011,1,2,2,3,Telefono,Producto,entrenamiento
C0012,1,1,3,3,Telefono,Producto,entrenamiento
C0013,3,0,1,1,Web,Entrega,entrenamiento
C0014,1,1,1,1,Telefono,Entrega,entrenamiento
C0015,1,4,0,4,Web,Facturacion,entrenamiento
C0016,2,0,1,2,Telefono,Entrega,entrenamiento
C0017,1,1,2,3,Web,Entrega,entrenamiento
C0018,0,1,0,0,Web,Facturacion,entrenamiento
C0019,2,1,0,3,Web,Entrega,entrenamiento
C0020,6,2,1,1,Web,Entrega,entrenamiento
C0021,0,1,1,3,Web,Facturacion,entrenamiento
C0022,0,0,0,3,Telefono,Entrega,entrenamiento
C0023,1,1,0,1,Telefono,Entrega,entrenamiento
C0024,1,1,1,1,Telefono,Facturacion,entrenamiento
C0025,2,1,1,2,Web,Producto,entrenamiento
C0026,2,2,1,1,Web,Producto,entrenamiento
C0027,2,0,1,1,Telefono,Facturacion,entrenamiento
C0028,2,1,0,1,Telefono,Entrega,entrenamiento
C0029,0,1,4,3,Telefono,Producto,entrenamiento
C0030,3,1,2,2,Telefono,Facturacion,entrenamiento
C0031,0,3,1,1,Web,Entrega,entrenamiento
C0032,2,1,1,0,Telefono,Entrega,entrenamiento
C0033,3,1,2,4,Web,Entrega,entrenamiento
C0034,2,3,2,1,Web,Facturacion,entrenamiento
C0035,0,0,0,4,Web,Entrega,entrenamiento
C0036,1,0,0,2,Telefono,Producto,entrenamiento
C0037,1,1,0,6,Telefono,Entrega,entrenamiento
C0038,1,0,1,5,Web,Facturacion,entrenamiento
