pedido_id,semana,centro,canal,camiones_cola,distancia_km,holgura_min,revision_documental,urgente,incidencias_previas,carga_proxy,atraso,compensacion_real_clp
P1201,13,Centro,Web,3,171.4880,34.1971,0,0,2,2.7881,0,0.0000
P1202,13,Norte,Web,7,49.9801,39.7439,1,0,1,7.5361,0,0.0000
P1203,13,Sur,Empresa,7,14.7262,26.7513,0,1,0,6.7761,0,0.0000
P1204,13,Norte,Sucursal,3,102.4234,5.7419,0,0,1,3.6070,0,0.0000
P1205,13,Centro,Empresa,2,72.3287,18.9451,1,1,0,1.5224,0,0.0000
P1206,13,Norte,Sucursal,9,52.5012,22.1095,1,0,1,9.3169,0,0.0000
P1207,13,Sur,Web,7,169.4445,10.8559,0,0,1,7.3687,0,0.0000
P1208,13,Centro,Sucursal,6,48.5484,28.9624,0,0,0,6.1990,0,0.0000
P1209,13,Sur,Empresa,9,24.6855,16.1278,0,0,2,9.4076,0,0.0000
P1210,13,Centro,Sucursal,5,144.1837,32.2095,0,0,2,4.9691,0,0.0000
P1211,13,Norte,Web,4,133.2218,28.5739,0,1,1,3.4110,1,118578.3650
P1212,13,Sur,Sucursal,8,12.0745,29.8255,0,0,1,7.4142,0,0.0000
P1213,13,Sur,Web,4,164.8475,21.9336,0,0,1,4.8017,0,0.0000
P1214,13,Norte,Web,6,129.0587,6.5227,0,0,0,6.2720,0,0.0000
P1215,13,Sur,Empresa,4,53.9543,27.8487,0,0,1,4.4438,0,0.0000
P1216,13,Norte,Empresa,7,5.5816,16.8585,0,0,1,6.7362,0,0.0000
P1217,13,Centro,Empresa,1,123.4902,11.5145,1,0,2,0.3507,0,0.0000
P1218,13,Centro,Sucursal,6,6.9098,14.1994,0,0,2,6.4651,0,0.0000
P1219,13,Centro,Empresa,6,151.1499,29.3253,0,0,0,6.4110,0,0.0000
P1220,13,Centro,Web,6,57.3831,15.9875,0,0,3,5.7877,0,0.0000
P1221,13,Norte,Empresa,2,91.8046,23.0317,0,0,0,1.6978,0,0.0000
P1222,13,Sur,Sucursal,6,46.3929,21.8184,0,0,1,6.2697,1,121505.9683
P1223,13,Centro,Web,8,78.3766,36.9737,0,0,1,8.1459,0,0.0000
P1224,13,Sur,Web,5,35.5488,10.9307,0,0,2,4.7303,0,0.0000
P1225,13,Norte,Web,7,93.6948,5.1277,0,0,1,6.7244,0,0.0000
P1226,13,Centro,Web,7,37.4968,33.9700,0,0,1,6.4012,0,0.0000
P1227,13,Sur,Empresa,4,172.7868,5.0851,0,0,1,4.1000,1,115106.2377
P1228,13,Centro,Sucursal,7,10.5722,20.5796,0,0,0,7.0935,0,0.0000
P1229,13,Sur,Sucursal,4,168.2604,9.8435,0,0,1,4.2441,0,0.0000
P1230,13,Centro,Empresa,5,7.3651,33.7669,0,1,1,4.5329,0,0.0000
P1231,13,Centro,Empresa,5,12.0014,8.9850,0,1,0,4.6972,0,0.0000
P1232,13,Centro,Web,4,86.9723,5.8905,0,0,2,3.6466,1,134380.7908
P1233,13,Sur,Web,7,68.7383,37.5157,0,0,2,7.4284,0,0.0000
P1234,13,Norte,Web,7,178.5134,14.5478,0,0,1,7.3488,0,0.0000
P1235,13,Sur,Empresa,10,79.1344,5.4161,0,0,4,10.0024,1,112843.7658
P1236,13,Sur,Web,2,168.6086,6.0991,0,0,1,1.8191,1,106484.7842
P1237,13,Centro,Sucursal,6,170.3251,27.9321,0,0,1,6.0089,0,0.0000
P1238,13,Norte,Sucursal,1,75.4835,31.2145,0,0,3,1.0491,0,0.0000
P1239,13,Sur,Empresa,6,158.9478,39.8733,0,0,0,6.1393,0,0.0000
P1240,13,Sur,Empresa,7,155.8273,26.5433,1,0,2,7.0120,0,0.0000
P1241,13,Centro,Web,7,170.8476,35.5957,0,0,1,7.2993,0,0.0000
P1242,13,Norte,Empresa,10,53.0524,5.0720,1,0,1,9.5645,0,0.0000
P1243,13,Centro,Web,8,124.7021,25.4158,0,0,3,8.3323,1,122500.8831
P1244,13,Centro,Empresa,7,83.0556,10.6670,1,0,3,7.3403,0,0.0000
P1245,13,Norte,Empresa,6,43.0104,34.2625,0,0,1,6.9522,0,0.0000
P1246,13,Sur,Web,5,25.8524,19.8270,0,0,3,4.3061,0,0.0000
P1247,13,Norte,Empresa,4,143.8814,37.6543,0,0,1,4.3292,0,0.0000
P1248,13,Norte,Web,6,NA,5.5900,0,1,1,5.9398,0,0.0000
P1249,13,Centro,Web,5,131.0088,22.6905,0,1,0,4.3375,0,0.0000
P1250,13,Norte,Web,8,35.2844,12.6231,0,0,0,8.1611,0,0.0000
P1251,13,Centro,Sucursal,7,19.9188,36.4101,1,0,1,6.6790,0,0.0000
P1252,13,Sur,Empresa,4,68.2299,11.5793,0,0,0,4.2947,0,0.0000
P1253,13,Sur,Web,9,141.6861,28.9094,0,1,0,8.9782,0,0.0000
P1254,13,Centro,Web,5,40.1737,30.2009,0,1,3,5.3595,0,0.0000
P1255,13,Centro,Web,5,176.6198,18.1590,0,0,2,5.7364,0,0.0000
P1256,13,Centro,Empresa,6,31.1486,14.9129,1,0,2,5.6510,0,0.0000
P1257,13,Sur,Web,7,95.3876,15.8981,0,1,0,6.8578,1,122671.6664
P1258,13,Norte,Empresa,6,19.4762,19.4399,1,0,1,5.9474,1,108331.8174
P1259,13,Sur,Web,12,34.3249,28.4334,0,0,1,11.5399,0,0.0000
