cliente_id,pedidos_mes,ticket_mclp,recencia_dias,margen_pct,devoluciones_pct,variabilidad_pedidos,canal,contrato,region
CL0001,6.1372,0.3391,41.1294,25.9126,1.0212,0.0300,Digital,0,Centro
CL0002,13.1330,0.8396,12.8430,22.0706,4.9000,0.1494,Ejecutivo,1,Sur
CL0003,4.3948,0.2886,12.5487,26.4020,0.3218,0.4855,Mixto,1,Sur
CL0004,18.2511,0.2881,25.3355,22.0607,9.5123,0.3433,Ejecutivo,1,Norte
CL0005,4.5921,0.0761,30.5613,16.2802,2.2992,0.3974,Mixto,0,Centro
CL0006,16.1590,0.6982,16.0891,21.9642,5.1336,0.3323,Ejecutivo,0,Centro
CL0007,26.4870,2.7770,31.4346,NA,12.0548,0.5110,Mixto,1,Sur
CL0008,4.9508,0.0953,20.9424,6.0804,1.2787,0.3007,Digital,1,Sur
CL0009,16.8403,1.0406,24.2769,27.0390,4.5495,0.4942,Ejecutivo,1,Norte
CL0010,12.0958,0.3797,29.8290,30.6719,1.2862,0.0785,Digital,0,Sur
CL0011,20.1509,1.5369,12.5914,14.6275,2.6448,0.3015,Digital,1,Norte
CL0012,4.6560,0.3243,27.0628,21.2219,1.5783,0.3274,Mixto,0,Sur
CL0013,13.7106,0.5309,5.1215,25.0506,5.4305,0.2556,Ejecutivo,1,Centro
CL0014,23.2140,2.2445,14.2447,34.2004,7.8383,0.0680,Digital,1,Sur
CL0015,20.0515,8.3061,14.7932,12.9846,3.9507,0.3917,Mixto,1,Norte
CL0016,18.9566,2.5680,10.4712,8.2260,5.0546,0.3044,Ejecutivo,1,Sur
CL0017,12.1241,0.8238,6.8398,30.1352,6.2184,0.1216,Ejecutivo,1,Norte
CL0018,6.8720,0.6187,22.6586,22.1844,5.5679,0.0300,Ejecutivo,1,Sur
CL0019,12.5146,0.6340,20.0741,26.3303,5.7220,0.1352,Digital,0,Centro
CL0020,9.8792,1.7971,21.9912,30.0865,2.0541,0.2732,Ejecutivo,1,Norte
CL0021,19.7200,4.2860,30.7554,45.0258,11.5689,0.0589,Mixto,0,Sur
CL0022,16.5821,1.8292,14.3494,29.7499,5.7433,0.2174,Ejecutivo,1,Sur
CL0023,7.0563,0.2141,44.2854,3.0569,0.3880,0.2056,Digital,1,Centro
CL0024,4.0578,0.3086,19.8214,21.7879,1.6181,0.5016,Digital,1,Norte
CL0025,14.1744,0.9053,18.5620,28.0966,2.8815,0.4350,Mixto,1,Norte
CL0026,7.7639,0.9591,17.2860,33.0521,6.6845,0.2664,Ejecutivo,1,Centro
CL0027,26.0332,0.8145,1.0000,25.7037,4.9374,0.1628,Ejecutivo,1,Norte
CL0028,16.6713,2.5985,3.7261,31.0041,5.7457,0.4106,Mixto,1,Norte
CL0029,4.1855,0.4210,43.3139,17.5713,2.2444,0.3542,Digital,0,Centro
CL0030,20.4177,1.5085,3.5527,27.8928,0.3939,0.3576,Mixto,1,Sur
CL0031,3.9212,0.2895,39.0511,26.4959,1.3987,0.3294,Ejecutivo,1,Sur
CL0032,17.1400,1.2540,6.2681,32.1135,6.7644,0.4103,Mixto,0,Norte
CL0033,15.2149,6.2308,21.3765,32.4324,8.0388,0.0918,Digital,1,Norte
CL0034,5.9573,0.6209,25.1621,29.6950,3.8869,0.5294,Digital,1,Norte
CL0035,3.9983,0.4140,34.7276,18.1968,0.0000,0.0592,Digital,1,Sur
CL0036,5.5593,0.5117,28.7222,31.3070,6.4167,0.0300,Mixto,1,Sur
CL0037,1.0000,0.2085,50.2905,19.0878,3.1003,0.3904,Digital,1,Centro
CL0038,4.6472,0.2148,26.6073,19.2005,0.0000,0.3032,Mixto,0,Centro
CL0039,8.5516,1.2350,33.7422,17.5284,5.9171,0.0300,Ejecutivo,1,Centro
CL0040,23.4104,0.9706,15.5268,23.4862,1.7407,0.2795,Ejecutivo,1,Norte
CL0041,1.0000,0.3791,35.3956,29.9718,0.0000,0.1478,Digital,1,Norte
CL0042,14.5721,1.1268,16.1674,19.5326,7.2279,0.2445,Mixto,0,Norte
CL0043,2.9807,0.1834,35.1659,17.6988,0.7788,0.4544,Digital,0,Norte
CL0044,18.4888,2.1523,13.5677,23.0702,0.8628,0.0831,Mixto,0,Centro
CL0045,22.8847,1.8224,3.5567,21.4165,0.0000,0.0300,Digital,1,Centro
CL0046,4.8885,0.3520,39.0099,17.3041,3.9679,0.4063,Mixto,0,Centro
CL0047,8.1862,0.6034,19.9374,29.9802,3.5475,0.2616,Ejecutivo,0,Sur
CL0048,9.8792,0.6572,30.1283,17.7213,10.0120,0.3916,Digital,0,Centro
CL0049,6.4199,0.8655,24.0190,32.2499,8.9488,0.5070,Mixto,0,Sur
CL0050,13.5291,0.5491,1.0000,21.1581,7.5211,0.3407,Ejecutivo,1,Centro
CL0051,9.3930,3.3158,30.1369,37.4486,5.6537,0.6006,Digital,1,Norte
CL0052,3.2443,0.1207,33.8775,22.3120,0.6995,0.0875,Digital,1,Norte
CL0053,11.9652,0.6102,6.8099,22.2343,7.0335,0.2762,Digital,0,Norte
CL0054,14.4142,4.3106,15.7730,37.7101,9.9013,0.3277,Ejecutivo,1,Norte
CL0055,16.0488,1.8875,43.3388,43.1972,6.6366,0.4815,Digital,1,Centro
CL0056,16.2447,0.9749,17.7815,27.0733,7.3614,0.1685,Digital,1,Norte
CL0057,20.0940,1.4314,1.0000,10.4844,5.7068,0.3555,Ejecutivo,0,Sur
CL0058,6.8202,1.1015,4.7506,21.9033,6.7925,0.3503,Digital,0,Sur
CL0059,4.0000,0.4094,21.5178,22.8273,3.0042,0.6804,Mixto,0,Norte
CL0060,9.2267,1.2790,20.2394,21.3537,0.0000,0.3455,Mixto,0,Sur
CL0061,21.1545,2.5909,37.7117,34.3744,13.0000,0.2034,Digital,1,Sur
CL0062,6.5818,0.0769,39.5808,26.3376,1.4323,0.5183,Digital,1,Norte
CL0063,16.6586,3.2979,13.0261,28.2736,10.2707,0.0996,Digital,0,Sur
CL0064,22.6466,1.3082,22.4101,17.5212,4.2997,0.3906,Digital,1,Sur
CL0065,3.0458,0.2261,35.2014,12.6372,3.5771,0.0501,Digital,1,Sur
CL0066,5.6152,0.3946,39.2908,15.9282,1.9230,0.3087,Mixto,0,Centro
CL0067,19.9400,1.5673,10.0736,12.6557,2.5555,0.4055,Digital,1,Norte
CL0068,13.8609,2.9506,30.3473,22.0944,6.9930,0.4814,Mixto,1,Norte
CL0069,19.5978,2.1371,23.1653,26.8369,7.8723,0.4141,Mixto,1,Sur
CL0070,5.5020,0.2057,27.6190,13.2104,1.3395,0.2417,Mixto,1,Centro
CL0071,11.9917,0.8006,2.2290,26.5725,4.5958,0.4165,Digital,0,Centro
CL0072,8.3915,0.0500,42.7951,18.1890,1.5601,0.3529,Ejecutivo,1,Norte
CL0073,3.3888,0.2545,26.3825,14.0337,1.0183,0.2910,Mixto,0,Norte
CL0074,2.9099,0.2267,35.6776,6.9369,1.4170,0.4729,Digital,1,Centro
CL0075,5.0688,0.1143,27.4703,27.8468,1.7666,0.2436,Digital,1,Norte
CL0076,25.7215,1.7205,4.0751,13.9374,1.3590,0.4150,Digital,1,Norte
CL0077,8.9132,0.8297,36.0906,37.4696,6.6401,0.5511,Digital,1,Norte
CL0078,2.5930,0.2203,25.7753,23.2406,0.9198,0.0630,Ejecutivo,0,Norte
CL0079,1.9065,0.2007,24.9165,25.5975,0.0000,0.1899,Ejecutivo,1,Norte
CL0080,4.2770,0.9406,10.5119,28.1225,7.6531,0.4645,Digital,0,Norte
CL0081,15.4905,0.0500,39.6365,40.0437,2.7709,0.0962,Digital,1,Centro
CL0082,17.8828,1.2305,17.0309,16.8769,0.7986,0.3334,Mixto,0,Sur
CL0083,14.6504,1.4762,27.3431,26.0846,9.2059,0.3510,Mixto,0,Norte
CL0084,14.7914,0.0500,10.9222,19.9576,3.5112,0.4898,Mixto,1,Centro
CL0085,16.8641,1.4052,4.0658,26.5350,0.0000,0.2668,Mixto,1,Sur
CL0086,2.0714,0.2899,16.9703,8.9969,5.0419,0.4150,Mixto,0,Norte
CL0087,1.8747,0.2606,6.4941,15.2784,2.0985,0.2538,Digital,1,Sur
CL0088,11.1754,3.1142,30.0600,35.5606,9.6283,0.3780,Digital,1,Norte
CL0089,20.7393,0.1370,4.9378,14.8101,2.0594,0.4740,Digital,1,Centro
CL0090,31.0267,8.1625,1.0000,32.8231,5.7971,0.1418,Mixto,1,Sur
CL0091,19.3952,0.9056,16.6780,15.5505,1.0285,0.3012,Digital,0,Norte
CL0092,17.5822,0.9332,18.7969,14.9846,2.6286,0.2147,Digital,0,Norte
CL0093,5.8320,0.3315,42.0377,4.9042,2.5677,0.2498,Mixto,1,Sur
CL0094,3.7321,0.1896,41.9666,17.7353,2.7014,0.3047,Mixto,1,Norte
CL0095,31.5901,3.7022,22.2150,37.5358,7.7917,0.3619,Ejecutivo,0,Sur
CL0096,4.1651,0.2974,42.4400,13.2954,1.1439,0.4392,Digital,1,Centro
CL0097,1.0000,0.1886,19.2525,18.1331,2.9540,0.3656,Digital,0,Norte
CL0098,2.7640,0.8285,40.4603,9.5260,4.6232,0.5185,Mixto,1,Norte
CL0099,8.3071,0.5210,13.4000,16.5404,7.3425,0.4642,Digital,0,Centro
CL0100,21.0123,1.5517,14.6834,19.6053,5.0834,0.3015,Digital,1,Norte
CL0101,25.7108,1.4588,1.0000,10.7056,3.2782,0.3626,Mixto,0,Norte
CL0102,15.3960,0.8420,21.5318,30.0829,8.3928,0.0973,Mixto,1,Centro
CL0103,28.2778,3.3567,45.4614,34.5334,10.7574,0.4409,Ejecutivo,0,Centro
CL0104,19.7173,0.5724,3.9912,24.0279,7.8728,0.2014,Digital,0,Norte
CL0105,10.4648,0.5351,4.7388,16.3064,6.4327,0.2261,Mixto,1,Sur
CL0106,10.4381,0.6697,16.8468,24.4073,9.0910,0.2907,Ejecutivo,1,Centro
CL0107,25.3331,1.5452,1.0000,15.5971,3.7269,0.2142,Mixto,0,Sur
CL0108,4.2992,0.3508,36.9538,26.0532,0.0000,0.3478,Digital,0,Norte
CL0109,13.5877,1.2931,23.1181,32.0561,9.2024,0.3723,Digital,0,Sur
CL0110,17.5666,3.0264,18.3512,42.6680,9.3315,0.3238,Ejecutivo,0,Norte
CL0111,7.8601,0.6441,11.9624,32.0098,3.9547,0.4162,Mixto,0,Sur
CL0112,4.0897,0.2102,55.9053,17.5519,1.6800,0.3841,Digital,0,Centro
CL0113,6.6856,0.2732,38.0574,18.9503,2.8559,0.3673,Mixto,0,Centro
CL0114,16.1372,1.7217,17.5159,21.0261,3.9256,0.3715,Digital,0,Norte
CL0115,9.1826,0.6712,14.4223,32.1286,8.4478,0.2257,Digital,0,Centro
CL0116,13.4869,0.7596,4.4414,17.3828,5.4686,0.1985,Ejecutivo,0,Centro
CL0117,4.7394,0.3188,16.0821,16.2353,2.1224,0.5109,Digital,0,Centro
CL0118,4.8562,0.2866,60.0516,29.3644,0.0000,0.5550,Mixto,1,Centro
