cliente_id,pedidos_mes,ticket_mclp,recencia_dias,margen_pct,devoluciones_pct,variabilidad_pedidos,canal,contrato,region
CL0001,4.8842,0.3027,38.4386,25.9126,1.0212,0.0300,Digital,0,Centro
CL0002,13.4074,0.6725,27.0797,22.0706,4.9000,0.1494,Ejecutivo,1,Sur
CL0003,4.2451,0.3024,10.8632,26.4020,0.3218,0.4855,Mixto,1,Sur
CL0004,18.1769,0.3121,22.0474,22.0607,9.5123,0.3433,Ejecutivo,1,Norte
CL0005,6.1400,0.0740,39.2709,16.2802,2.2992,0.3974,Mixto,0,Centro
CL0006,17.2098,0.6269,12.8624,21.9642,5.1336,0.3323,Ejecutivo,0,Centro
CL0007,27.4284,2.7511,44.6416,NA,12.0548,0.5110,Mixto,1,Sur
CL0008,5.6174,0.0828,28.4725,6.0804,1.2787,0.3007,Digital,1,Sur
CL0009,18.4516,1.0505,12.1141,27.0390,4.5495,0.4942,Ejecutivo,1,Norte
CL0010,13.0215,0.3579,30.9289,30.6719,1.2862,0.0785,Digital,0,Sur
CL0011,19.4563,1.5926,21.5292,14.6275,2.6448,0.3015,Digital,1,Norte
CL0012,3.9220,0.4070,5.3776,21.2219,1.5783,0.3274,Mixto,0,Sur
CL0013,14.2026,0.5365,5.8560,25.0506,5.4305,0.2556,Ejecutivo,1,Centro
CL0014,20.5784,2.3562,17.0164,34.2004,7.8383,0.0680,Digital,1,Sur
CL0015,18.8461,6.7076,5.6842,12.9846,3.9507,0.3917,Mixto,1,Norte
CL0016,25.6441,2.3282,20.1181,8.2260,5.0546,0.3044,Ejecutivo,1,Sur
CL0017,14.7506,0.9681,1.0000,30.1352,6.2184,0.1216,Ejecutivo,1,Norte
CL0018,6.1461,0.6443,12.3746,22.1844,5.5679,0.0300,Ejecutivo,1,Sur
CL0019,12.4042,0.6490,1.9286,26.3303,5.7220,0.1352,Digital,0,Centro
CL0020,12.6249,2.0842,33.3305,30.0865,2.0541,0.2732,Ejecutivo,1,Norte
CL0021,19.8351,4.5320,34.1072,45.0258,11.5689,0.0589,Mixto,0,Sur
CL0022,19.1516,2.2471,17.0728,29.7499,5.7433,0.2174,Ejecutivo,1,Sur
CL0023,7.5651,0.2064,42.9768,3.0569,0.3880,0.2056,Digital,1,Centro
CL0024,4.4222,0.3115,20.0525,21.7879,1.6181,0.5016,Digital,1,Norte
CL0025,14.9625,0.8684,17.5476,28.0966,2.8815,0.4350,Mixto,1,Norte
CL0026,7.4545,1.0489,15.1273,33.0521,6.6845,0.2664,Ejecutivo,1,Centro
CL0027,23.9986,0.9188,1.0000,25.7037,4.9374,0.1628,Ejecutivo,1,Norte
CL0028,18.0841,2.5581,5.9807,31.0041,5.7457,0.4106,Mixto,1,Norte
CL0029,4.5834,0.4690,55.3664,17.5713,2.2444,0.3542,Digital,0,Centro
CL0030,22.9152,1.5792,1.0000,27.8928,0.3939,0.3576,Mixto,1,Sur
CL0031,4.3354,0.2267,50.6946,26.4959,1.3987,0.3294,Ejecutivo,1,Sur
CL0032,15.4854,1.4301,8.9838,32.1135,6.7644,0.4103,Mixto,0,Norte
CL0033,16.0375,6.0929,14.6618,32.4324,8.0388,0.0918,Digital,1,Norte
CL0034,6.5564,0.6701,23.7587,29.6950,3.8869,0.5294,Digital,1,Norte
CL0035,4.3478,0.4887,26.4408,18.1968,0.0000,0.0592,Digital,1,Sur
CL0036,6.1362,0.4814,33.5100,31.3070,6.4167,0.0300,Mixto,1,Sur
CL0037,1.0000,0.2183,54.1989,19.0878,3.1003,0.3904,Digital,1,Centro
CL0038,6.3059,0.1784,27.5211,19.2005,0.0000,0.3032,Mixto,0,Centro
CL0039,9.2155,1.0607,36.4215,17.5284,5.9171,0.0300,Ejecutivo,1,Centro
CL0040,25.1249,0.9328,28.3490,23.4862,1.7407,0.2795,Ejecutivo,1,Norte
CL0041,1.0003,0.3267,34.0337,29.9718,0.0000,0.1478,Digital,1,Norte
CL0042,13.6502,1.4223,15.5325,19.5326,7.2279,0.2445,Mixto,0,Norte
CL0043,3.4439,0.1641,45.7264,17.6988,0.7788,0.4544,Digital,0,Norte
CL0044,22.3218,2.2563,11.7495,23.0702,0.8628,0.0831,Mixto,0,Centro
CL0045,24.2733,1.8488,10.1061,21.4165,0.0000,0.0300,Digital,1,Centro
CL0046,5.6904,0.3638,46.7159,17.3041,3.9679,0.4063,Mixto,0,Centro
CL0047,7.9722,0.5405,17.1048,29.9802,3.5475,0.2616,Ejecutivo,0,Sur
CL0048,10.0323,0.7469,34.3744,17.7213,10.0120,0.3916,Digital,0,Centro
CL0049,8.1649,0.9082,25.9660,32.2499,8.9488,0.5070,Mixto,0,Sur
CL0050,14.9675,0.4978,6.9194,21.1581,7.5211,0.3407,Ejecutivo,1,Centro
CL0051,8.4664,3.1385,26.9012,37.4486,5.6537,0.6006,Digital,1,Norte
CL0052,2.9486,0.1197,32.7534,22.3120,0.6995,0.0875,Digital,1,Norte
CL0053,10.9262,0.7140,3.6993,22.2343,7.0335,0.2762,Digital,0,Norte
CL0054,14.3173,4.2480,18.0259,37.7101,9.9013,0.3277,Ejecutivo,1,Norte
CL0055,15.5502,2.0089,41.2122,43.1972,6.6366,0.4815,Digital,1,Centro
CL0056,18.4208,0.8658,12.6852,27.0733,7.3614,0.1685,Digital,1,Norte
CL0057,23.4740,1.6872,6.6431,10.4844,5.7068,0.3555,Ejecutivo,0,Sur
CL0058,7.8315,1.2623,16.9013,21.9033,6.7925,0.3503,Digital,0,Sur
CL0059,5.3070,0.4330,26.0396,22.8273,3.0042,0.6804,Mixto,0,Norte
CL0060,9.8612,1.1038,25.9634,21.3537,0.0000,0.3455,Mixto,0,Sur
CL0061,24.4974,2.5700,45.9250,34.3744,13.0000,0.2034,Digital,1,Sur
CL0062,6.3390,0.0778,36.1092,26.3376,1.4323,0.5183,Digital,1,Norte
CL0063,17.0717,3.0454,10.6682,28.2736,10.2707,0.0996,Digital,0,Sur
CL0064,26.9211,1.2933,37.4002,17.5212,4.2997,0.3906,Digital,1,Sur
CL0065,3.6240,0.2471,33.6544,12.6372,3.5771,0.0501,Digital,1,Sur
CL0066,6.1199,0.4152,42.2212,15.9282,1.9230,0.3087,Mixto,0,Centro
CL0067,17.4292,1.7705,5.8540,12.6557,2.5555,0.4055,Digital,1,Norte
CL0068,13.9634,2.6091,44.5713,22.0944,6.9930,0.4814,Mixto,1,Norte
CL0069,22.1268,2.0115,24.7442,26.8369,7.8723,0.4141,Mixto,1,Sur
CL0070,5.7967,0.2462,24.3943,13.2104,1.3395,0.2417,Mixto,1,Centro
CL0071,13.4252,0.8203,6.2511,26.5725,4.5958,0.4165,Digital,0,Centro
CL0072,9.2537,0.0588,43.7940,18.1890,1.5601,0.3529,Ejecutivo,1,Norte
CL0073,2.9832,0.2040,24.9826,14.0337,1.0183,0.2910,Mixto,0,Norte
CL0074,3.3833,0.2323,36.7978,6.9369,1.4170,0.4729,Digital,1,Centro
CL0075,3.7941,0.1218,31.6728,27.8468,1.7666,0.2436,Digital,1,Norte
CL0076,32.3050,1.8413,1.0000,13.9374,1.3590,0.4150,Digital,1,Norte
CL0077,9.3725,0.9452,43.4378,37.4696,6.6401,0.5511,Digital,1,Norte
CL0078,2.7505,0.2584,27.7600,23.2406,0.9198,0.0630,Ejecutivo,0,Norte
CL0079,2.0898,0.2130,12.2405,25.5975,0.0000,0.1899,Ejecutivo,1,Norte
CL0080,5.4758,1.0791,15.9608,28.1225,7.6531,0.4645,Digital,0,Norte
CL0081,14.3190,0.0479,45.0857,40.0437,2.7709,0.0962,Digital,1,Centro
CL0082,19.9636,1.3772,16.8328,16.8769,0.7986,0.3334,Mixto,0,Sur
CL0083,13.3914,1.3950,29.2697,26.0846,9.2059,0.3510,Mixto,0,Norte
CL0084,17.3313,0.0485,23.6279,19.9576,3.5112,0.4898,Mixto,1,Centro
CL0085,19.5934,1.4157,1.0000,26.5350,0.0000,0.2668,Mixto,1,Sur
CL0086,2.1095,0.2920,9.9065,8.9969,5.0419,0.4150,Mixto,0,Norte
CL0087,2.1358,0.3256,3.0837,15.2784,2.0985,0.2538,Digital,1,Sur
CL0088,11.6758,2.9884,28.0528,35.5606,9.6283,0.3780,Digital,1,Norte
CL0089,21.8501,0.1317,11.8667,14.8101,2.0594,0.4740,Digital,1,Centro
CL0090,35.2944,9.0970,1.0000,32.8231,5.7971,0.1418,Mixto,1,Sur
CL0091,15.1477,0.7536,8.9762,15.5505,1.0285,0.3012,Digital,0,Norte
CL0092,21.6507,1.0130,10.1942,14.9846,2.6286,0.2147,Digital,0,Norte
CL0093,6.2364,0.2853,38.5347,4.9042,2.5677,0.2498,Mixto,1,Sur
CL0094,3.6223,0.1744,35.3380,17.7353,2.7014,0.3047,Mixto,1,Norte
CL0095,31.1642,3.6374,13.8342,37.5358,7.7917,0.3619,Ejecutivo,0,Sur
CL0096,3.4396,0.3587,33.9806,13.2954,1.1439,0.4392,Digital,1,Centro
CL0097,1.0572,0.1981,21.3415,18.1331,2.9540,0.3656,Digital,0,Norte
CL0098,2.9519,0.9131,35.8329,9.5260,4.6232,0.5185,Mixto,1,Norte
CL0099,9.3178,0.5723,12.8360,16.5404,7.3425,0.4642,Digital,0,Centro
CL0100,19.6210,1.5192,7.1656,19.6053,5.0834,0.3015,Digital,1,Norte
CL0101,30.4022,2.0068,1.0000,10.7056,3.2782,0.3626,Mixto,0,Norte
CL0102,14.7525,0.7636,21.3301,30.0829,8.3928,0.0973,Mixto,1,Centro
CL0103,37.9721,3.3603,42.8469,34.5334,10.7574,0.4409,Ejecutivo,0,Centro
CL0104,21.2183,0.6570,1.0000,24.0279,7.8728,0.2014,Digital,0,Norte
CL0105,10.2317,0.3951,1.0000,16.3064,6.4327,0.2261,Mixto,1,Sur
CL0106,11.0919,0.7844,21.5624,24.4073,9.0910,0.2907,Ejecutivo,1,Centro
CL0107,33.8809,1.6956,1.0000,15.5971,3.7269,0.2142,Mixto,0,Sur
CL0108,3.5395,0.3762,32.6987,26.0532,0.0000,0.3478,Digital,0,Norte
CL0109,15.0273,1.4478,27.7397,32.0561,9.2024,0.3723,Digital,0,Sur
CL0110,16.9568,3.0752,21.8865,42.6680,9.3315,0.3238,Ejecutivo,0,Norte
CL0111,8.3548,0.6603,17.0791,32.0098,3.9547,0.4162,Mixto,0,Sur
CL0112,3.8935,0.2102,62.8126,17.5519,1.6800,0.3841,Digital,0,Centro
CL0113,5.3315,0.2526,39.7585,18.9503,2.8559,0.3673,Mixto,0,Centro
CL0114,17.5781,1.6942,5.1921,21.0261,3.9256,0.3715,Digital,0,Norte
CL0115,11.6063,0.8603,13.2481,32.1286,8.4478,0.2257,Digital,0,Centro
CL0116,14.7446,0.9873,6.4372,17.3828,5.4686,0.1985,Ejecutivo,0,Centro
CL0117,5.1781,0.3193,27.4915,16.2353,2.1224,0.5109,Digital,0,Centro
CL0118,5.7555,0.3042,57.4989,29.3644,0.0000,0.5550,Mixto,1,Centro
CL0119,6.2150,0.1942,48.7857,3.0000,0.0000,0.3559,Digital,1,Centro
CL0120,7.9873,0.2523,50.9098,30.8100,0.0000,0.4786,Digital,1,Norte
CL0121,3.9800,3.3769,23.1056,26.6662,10.1854,0.2733,Mixto,1,Centro
CL0122,4.7108,0.1336,62.4107,23.4534,2.9548,0.2745,Digital,1,Norte
CL0123,12.9053,0.6691,33.0260,30.9888,3.3601,0.6659,Mixto,0,Norte
CL0124,20.4530,1.8924,24.0249,23.7329,3.8342,0.1134,Digital,0,Centro
CL0125,17.7687,1.5096,19.7860,43.6591,8.7876,0.2570,Ejecutivo,1,Sur
CL0126,13.6382,1.9163,9.4151,17.0121,1.6606,0.1407,Ejecutivo,0,Centro
CL0127,4.3339,0.3664,1.5871,22.0673,0.4876,0.3296,Digital,0,Norte
CL0128,10.4754,0.5585,20.1565,28.5830,5.5910,0.2320,Mixto,1,Sur
CL0129,29.2632,1.6992,5.1590,21.7714,5.0671,0.4113,Ejecutivo,0,Sur
CL0130,11.2429,3.2670,30.6880,36.6510,8.5963,0.2971,Mixto,1,Centro
CL0131,28.1740,1.0973,1.0000,10.8429,2.3957,0.3411,Digital,1,Sur
CL0132,4.1999,0.2607,28.6155,26.0521,6.7772,0.4228,Digital,0,Norte
CL0133,36.2436,2.1496,1.0000,20.8693,0.5918,0.2209,Mixto,0,Norte
CL0134,8.1114,2.6857,1.0000,40.1465,7.7548,0.5264,Ejecutivo,1,Sur
CL0135,8.6606,0.0477,44.0134,15.0936,5.0094,0.4417,Digital,0,Centro
CL0136,17.0798,3.3278,7.8543,47.0955,9.5490,0.1406,Mixto,1,Centro
CL0137,26.5910,1.2085,1.0000,29.4953,2.5311,0.5004,Mixto,1,Sur
CL0138,22.9036,1.8582,1.0000,17.4974,3.6827,0.2205,Digital,0,Norte
CL0139,18.9026,0.6026,40.9132,31.7989,8.5964,0.2399,Ejecutivo,1,Norte
CL0140,21.4127,1.8675,7.9259,13.4083,6.4073,0.1195,Mixto,1,Sur
CL0141,11.6049,1.1296,3.0799,28.7693,5.0007,0.1011,Ejecutivo,1,Sur
CL0142,9.9346,4.4951,16.5211,28.5704,12.4234,0.3844,Mixto,1,Norte
CL0143,6.8646,0.2583,20.0114,20.6030,2.7690,0.1055,Ejecutivo,0,Norte
CL0144,15.5375,0.9467,13.7401,34.7001,5.6249,0.4538,Mixto,0,Sur
CL0145,21.8810,3.5724,48.1622,35.0429,8.9284,0.4928,Mixto,1,Sur
CL0146,9.8165,1.7765,29.2264,45.2740,5.5055,0.5332,Ejecutivo,1,Centro
CL0147,18.7296,0.6598,12.5234,13.8575,4.3440,0.2516,Digital,0,Centro
CL0148,1.8548,0.2325,45.7908,13.9170,1.5515,0.1665,Digital,0,Sur
CL0149,14.5423,1.8054,2.0746,24.2493,2.6718,0.3556,Mixto,0,Centro
CL0150,8.0558,0.4120,18.2780,23.7450,3.2505,0.4005,Digital,0,Centro
CL0151,17.6672,2.8009,21.4906,38.8007,7.5294,0.2564,Mixto,0,Norte
CL0152,7.4842,0.2455,41.5088,24.3971,4.3880,0.0300,Digital,0,Centro
CL0153,1.2966,1.0801,6.6991,22.9772,6.6349,0.2686,Ejecutivo,0,Centro
CL0154,6.1199,0.2937,23.3762,19.9370,0.1608,0.2467,Ejecutivo,1,Centro
CL0155,17.1804,0.5775,1.0000,31.5049,7.6522,0.1785,Digital,0,Norte
CL0156,18.4039,0.8531,9.1342,25.6584,5.7735,0.4239,Digital,1,Norte
CL0157,2.7290,2.4612,26.2443,36.1143,7.2011,0.3458,Mixto,1,Sur
CL0158,6.0885,0.1893,26.0922,22.2263,3.4445,0.3045,Digital,0,Norte
CL0159,22.5399,1.5788,1.0000,28.6842,5.0755,0.2261,Digital,1,Sur
CL0160,6.1342,0.7176,1.0000,17.0965,6.4614,0.1644,Mixto,1,Centro
CL0161,18.4889,2.2537,23.2338,25.7795,9.3824,0.1552,Mixto,0,Centro
CL0162,5.7924,0.2385,41.3771,24.2274,0.0000,0.0941,Mixto,0,Sur
CL0163,18.3936,0.1220,7.3534,14.9570,6.2173,0.2088,Mixto,1,Sur
CL0164,17.5270,0.7913,29.9962,22.3514,3.6696,0.0805,Digital,1,Norte
CL0165,18.7690,2.4577,41.0919,28.5759,10.1443,0.1998,Digital,1,Sur
CL0166,19.3410,0.7170,8.3526,23.4694,5.1800,0.1564,Mixto,0,Centro
CL0167,3.2305,0.4482,41.0621,14.1823,0.1954,0.3572,Mixto,1,Sur
CL0168,3.2752,0.1387,30.6385,16.9971,3.6088,0.3450,Ejecutivo,0,Centro
CL0169,4.8203,0.2346,34.1757,22.8017,1.8798,0.3787,Mixto,0,Norte
CL0170,11.9299,0.5517,29.2104,30.2446,6.6322,0.1831,Mixto,1,Sur
CL0171,20.2539,0.7173,4.3319,26.4357,4.0721,0.3735,Mixto,1,Sur
CL0172,20.7304,2.5155,31.6798,31.9197,11.7933,0.3550,Digital,1,Norte
CL0173,3.8290,0.3548,36.2867,21.6932,1.0136,0.1089,Mixto,0,Sur
CL0174,16.1949,1.7595,12.0049,20.9000,2.2715,0.5439,Mixto,1,Sur
CL0175,18.6141,1.2965,35.6543,21.3440,4.2493,0.4214,Ejecutivo,1,Norte
CL0176,2.8744,0.0767,21.6683,26.1517,2.7224,0.5276,Ejecutivo,1,Sur
CL0177,33.0620,2.1642,4.8853,27.2426,3.1578,0.1982,Ejecutivo,0,Norte
CL0178,5.4936,0.1971,1.0000,18.2270,0.7734,0.1365,Digital,1,Sur
CL0179,16.5563,0.8032,29.5715,22.2004,3.3985,0.1306,Digital,1,Sur
CL0180,10.5473,0.2826,17.0532,33.8716,5.0944,0.5715,Mixto,0,Centro
CL0181,4.5759,5.4737,28.1582,50.6424,6.6636,0.2852,Mixto,0,Sur
CL0182,26.4694,2.4426,1.2184,17.6973,2.6540,0.3337,Mixto,0,Centro
CL0183,1.7604,0.1437,28.1451,3.0000,1.1508,0.2286,Ejecutivo,1,Centro
CL0184,29.0078,11.3060,3.9421,36.7271,10.3831,0.3374,Mixto,1,Norte
CL0185,19.1863,2.7600,22.8222,35.6605,10.2296,0.1701,Mixto,1,Centro
CL0186,26.2232,3.0576,17.8040,31.8796,12.3658,0.8041,Ejecutivo,1,Norte
CL0187,6.5553,0.2405,56.1281,22.2993,0.7581,0.5365,Ejecutivo,0,Sur
CL0188,16.2546,1.2276,25.3858,22.1548,7.0606,0.0958,Digital,0,Sur
CL0189,14.0818,1.5946,20.9813,13.4058,5.4279,0.4089,Mixto,0,Norte
CL0190,1.1410,0.2141,36.4011,13.3016,0.0000,0.2206,Mixto,0,Centro
CL0191,13.4066,2.4544,2.2030,16.0396,3.4716,0.0300,Mixto,0,Sur
CL0192,30.5127,2.8909,15.9957,18.1803,2.3308,0.2285,Ejecutivo,1,Centro
CL0193,17.7122,2.5887,8.1510,26.5475,2.9811,0.4474,Digital,1,Sur
CL0194,21.7884,2.1179,1.0000,17.9508,3.1146,0.5033,Ejecutivo,0,Norte
CL0195,6.6472,0.3554,48.3509,18.2219,3.1099,0.2436,Digital,1,Sur
CL0196,11.3071,0.8006,8.6785,23.8212,5.3382,0.3705,Digital,0,Sur
CL0197,2.3208,0.1877,59.5793,20.5975,7.7811,0.4502,Digital,1,Centro
CL0198,20.8879,0.5148,8.1357,19.2074,2.3470,0.2445,Mixto,0,Centro
CL0199,11.9550,1.2200,1.0000,36.8436,7.1878,0.2908,Mixto,0,Norte
CL0200,1.0000,0.2548,31.1653,23.1256,1.3071,0.3347,Digital,0,Centro
CL0201,32.0112,1.7732,29.1205,26.5260,0.0000,0.6455,Mixto,0,Sur
CL0202,14.7977,1.4336,7.5485,19.7565,1.1262,0.2423,Ejecutivo,0,Norte
CL0203,11.2844,0.8415,23.3034,26.9623,7.7908,0.0300,Digital,1,Sur
CL0204,5.5198,0.2561,10.4709,17.5419,0.0000,0.3071,Mixto,1,Sur
CL0205,4.2785,0.1207,38.9423,19.1309,0.0000,0.3138,Digital,1,Norte
CL0206,3.1015,0.3143,39.8587,19.5038,4.0539,0.0941,Mixto,0,Centro
CL0207,1.1132,0.2162,25.4032,NA,1.0645,0.3180,Digital,1,Sur
CL0208,14.7362,1.4191,1.0000,22.1484,4.6014,0.2069,Mixto,1,Norte
CL0209,3.2061,0.0550,37.6658,19.4206,6.9523,0.6011,Mixto,0,Sur
CL0210,19.0468,0.8766,12.2649,29.9357,5.4508,0.2362,Mixto,0,Centro
CL0211,11.6381,4.1331,33.1151,36.2259,8.4753,0.5567,Ejecutivo,0,Norte
CL0212,4.6485,0.0570,50.6534,24.0663,3.3278,0.3182,Digital,0,Centro
CL0213,9.5469,0.1988,17.6108,18.2379,0.0000,0.4910,Digital,0,Sur
CL0214,1.0494,0.2449,9.7588,17.3940,1.4347,0.3061,Ejecutivo,0,Norte
CL0215,5.1824,0.2157,39.9046,13.4256,0.0000,0.2979,Ejecutivo,1,Centro
CL0216,4.3933,0.2523,47.4463,28.2754,1.8414,0.4211,Digital,0,Norte
CL0217,13.1971,1.0452,1.0000,27.6878,7.5703,0.0361,Mixto,1,Centro
CL0218,9.6875,0.5323,9.4216,30.9821,6.1365,0.4109,Mixto,0,Centro
CL0219,24.7112,1.8494,15.0012,27.7423,1.5579,0.2090,Ejecutivo,0,Sur
CL0220,4.5628,0.1433,57.6627,24.6396,0.7322,0.4634,Mixto,1,Centro
CL0221,19.4764,3.0627,23.8636,44.1936,6.0027,0.2998,Digital,1,Centro
CL0222,14.2295,1.8166,18.7912,30.0827,8.4111,0.4740,Mixto,0,Centro
CL0223,7.1114,0.3757,40.7359,16.8372,3.6336,0.3860,Digital,1,Norte
CL0224,29.0337,3.1171,18.2712,35.1883,9.6080,0.1663,Mixto,0,Centro
CL0225,20.3548,0.5543,19.2573,27.8957,4.4798,0.0300,Ejecutivo,1,Sur
CL0226,29.7497,2.3066,1.0000,7.7010,3.1060,0.0300,Digital,1,Sur
CL0227,24.3266,1.4274,22.3778,20.5550,4.1962,0.3587,Digital,1,Sur
CL0228,2.5672,0.2951,44.3289,15.5379,1.6569,0.0479,Digital,1,Sur
CL0229,10.7795,1.0685,1.0000,34.7026,11.1835,0.1772,Mixto,0,Centro
CL0230,9.3390,0.4232,2.1264,17.1446,4.1181,0.0586,Mixto,0,Norte
CL0231,16.1698,2.4634,18.1175,37.7015,10.3782,0.4131,Mixto,1,Norte
CL0232,23.3836,1.8198,3.5078,13.9385,6.8406,0.4996,Mixto,0,Centro
CL0233,2.4120,0.2232,62.0768,18.1642,0.0000,0.2661,Ejecutivo,1,Centro
CL0234,37.5941,1.7730,2.9201,17.2192,3.6260,0.4390,Digital,1,Centro
CL0235,26.1615,1.7990,1.0000,19.0588,1.9431,0.1876,Ejecutivo,1,Sur
