cliente_id,abandono_semestre,margen_semestre_mclp
CL0001,0,5.3310
CL0002,0,16.4958
CL0003,0,3.7607
CL0004,0,4.9162
CL0005,0,0.0000
CL0006,0,16.4049
CL0007,0,122.4990
CL0008,0,0.0000
CL0009,0,31.1969
CL0010,0,5.6131
CL0011,1,30.3162
CL0012,0,2.4530
CL0013,0,13.5399
CL0014,0,106.0809
CL0015,0,30.3057
CL0016,0,24.7386
CL0017,0,18.2022
CL0018,0,8.5328
CL0019,0,12.1783
CL0020,0,11.7703
CL0021,1,229.0828
CL0022,0,57.0807
CL0023,0,0.0000
CL0024,1,0.7668
CL0025,0,20.7216
CL0026,1,15.5725
CL0027,0,32.8142
CL0028,0,78.8291
CL0029,1,3.0517
CL0030,0,52.1673
CL0031,1,2.9852
CL0032,0,41.9835
CL0033,0,182.7594
CL0034,1,8.0622
CL0035,1,0.8952
CL0036,0,2.5449
CL0037,0,1.2805
CL0038,0,2.1881
CL0039,1,11.2235
CL0040,0,34.4522
CL0041,0,0.0000
CL0042,0,15.5841
CL0043,0,0.1135
CL0044,0,52.5218
CL0045,0,51.3685
CL0046,0,1.9954
CL0047,0,9.9950
CL0048,0,5.6470
CL0049,0,11.1603
CL0050,0,8.7557
CL0051,1,70.9507
CL0052,0,2.5497
CL0053,0,10.6117
CL0054,1,139.1951
CL0055,0,78.2471
CL0056,0,24.9000
CL0057,0,15.5085
CL0058,0,8.9347
CL0059,0,3.1487
CL0060,1,13.4637
CL0061,0,112.8019
CL0062,0,1.9807
CL0063,0,93.9037
CL0064,0,29.7475
CL0065,0,0.4338
CL0066,0,3.6813
CL0067,1,22.6316
CL0068,0,55.7854
CL0069,0,67.4157
CL0070,0,0.0000
CL0071,0,11.2109
CL0072,0,0.0000
CL0073,0,1.7004
CL0074,0,2.1427
CL0075,0,4.3651
CL0076,0,37.9893
CL0077,1,13.9741
CL0078,0,2.6683
CL0079,0,0.0000
CL0080,1,6.6032
CL0081,0,2.9115
CL0082,0,20.7901
CL0083,0,33.7946
CL0084,0,0.4983
CL0085,0,42.5104
CL0086,0,0.0000
CL0087,0,0.0000
CL0088,1,73.7361
CL0089,0,2.4597
CL0090,0,120.7245
CL0091,0,15.9794
CL0092,0,14.5907
CL0093,1,0.0000
CL0094,0,1.4069
CL0095,1,262.0611
CL0096,0,0.0000
CL0097,0,3.0383
CL0098,1,0.0000
CL0099,0,4.2353
CL0100,0,38.8369
CL0101,0,22.0108
CL0102,1,20.6302
CL0103,0,194.1838
CL0104,0,19.4897
CL0105,0,6.5058
CL0106,0,8.9232
CL0107,0,38.7837
CL0108,0,0.1335
CL0109,0,33.3763
CL0110,1,138.8883
CL0111,0,9.0886
CL0112,0,0.0000
CL0113,0,2.3883
CL0114,0,35.4784
CL0115,0,12.2269
CL0116,0,11.2677
CL0117,0,0.0000
CL0118,1,5.6974
CL0119,1,0.0000
CL0120,0,0.6525
CL0121,0,14.7604
CL0122,1,0.0000
CL0123,0,18.7355
CL0124,0,58.2927
CL0125,0,77.0780
CL0126,0,28.5503
CL0127,0,1.3969
CL0128,0,5.0697
CL0129,0,58.1008
CL0130,1,64.9515
CL0131,0,18.1471
CL0132,0,6.9149
CL0133,0,86.7928
CL0134,0,47.3962
CL0135,0,5.6178
CL0136,0,111.8016
CL0137,0,63.0316
CL0138,0,33.4879
CL0139,1,18.4636
CL0140,0,27.3825
CL0141,0,22.3563
CL0142,0,62.2150
CL0143,0,2.7873
CL0144,0,24.7680
CL0145,0,176.7307
CL0146,0,65.6662
CL0147,0,7.6293
CL0148,0,0.0000
CL0149,0,37.7393
CL0150,0,5.9109
CL0151,0,105.9374
CL0152,0,3.5659
CL0153,0,1.9646
CL0154,0,3.5084
CL0155,0,22.3872
CL0156,1,20.5926
CL0157,0,17.9855
CL0158,0,4.2215
CL0159,1,72.9346
CL0160,0,4.8235
CL0161,0,73.6872
CL0162,0,5.2509
CL0163,1,1.5291
CL0164,0,14.8838
CL0165,0,85.8137
CL0166,0,21.8546
CL0167,0,2.3104
CL0168,0,1.0471
CL0169,1,2.0613
CL0170,0,10.2972
CL0171,0,25.6744
CL0172,0,80.4715
CL0173,0,0.8125
CL0174,0,30.4508
CL0175,0,32.2106
CL0176,0,0.0000
CL0177,0,80.0317
CL0178,0,1.4508
CL0179,0,15.8222
CL0180,0,2.1266
CL0181,0,57.2111
CL0182,0,53.9385
CL0183,0,2.5621
CL0184,0,168.2732
CL0185,0,103.7652
CL0186,0,166.0388
CL0187,0,5.9074
CL0188,1,14.9754
CL0189,0,20.5847
CL0190,0,3.6541
CL0191,0,36.1088
CL0192,0,65.9225
CL0193,0,64.4381
CL0194,0,61.0892
CL0195,0,4.4859
CL0196,0,14.3712
CL0197,0,0.0000
CL0198,0,7.5125
CL0199,0,23.1815
CL0200,1,5.4064
CL0201,0,96.8991
CL0202,0,14.5274
CL0203,0,16.5516
CL0204,0,1.7785
CL0205,0,3.2005
CL0206,1,1.7756
CL0207,0,4.6201
CL0208,0,24.9179
CL0209,1,0.9235
CL0210,0,25.2030
CL0211,0,109.9608
CL0212,0,2.2417
CL0213,0,0.0000
CL0214,0,0.0000
CL0215,0,0.0000
CL0216,1,0.0000
CL0217,0,18.4575
CL0218,0,8.9844
CL0219,0,72.6842
CL0220,1,1.3527
CL0221,0,137.1649
CL0222,0,53.5828
CL0223,0,1.3970
CL0224,1,106.8297
CL0225,0,13.7849
CL0226,0,23.8848
CL0227,0,36.4535
CL0228,0,0.0000
CL0229,0,21.9068
CL0230,0,2.0601
CL0231,0,85.7348
CL0232,0,28.2501
CL0233,1,0.0000
CL0234,0,49.1589
CL0235,0,63.7873
CL0236,1,17.1805
CL0237,0,18.5185
CL0238,0,301.0633
CL0239,1,10.9105
CL0240,0,8.7809
CL0241,0,0.0000
CL0242,0,86.5917
CL0243,1,3.3593
CL0244,0,30.9161
CL0245,0,107.0655
CL0246,0,81.9949
CL0247,1,4.6681
CL0248,1,2.7583
CL0249,1,80.3478
CL0250,1,2.6512
CL0251,0,55.6523
CL0252,0,8.8252
CL0253,0,15.2649
CL0254,0,1.0042
CL0255,0,0.0000
CL0256,1,67.0982
CL0257,0,0.5392
CL0258,0,76.1880
CL0259,0,13.9152
CL0260,0,32.4333
CL0261,1,0.0000
CL0262,0,37.3705
CL0263,0,13.0285
CL0264,0,44.0120
CL0265,1,106.3712
CL0266,0,42.8096
CL0267,0,53.6789
